sim_time,front_x,Z,T,cohesion,viscosity,tension,pressure
0.03,-57.6746,0.978896,0.0190833,0,3.14,0,1000
0.09,-57.4458,0.983617,0.0572498,0,3.14,0,1000
0.15,-57.0487,0.991805,0.0954163,0,3.14,0,1000
0.21,-56.5576,1.00193,0.133583,0,3.14,0,1000
0.27,-56.0165,1.01309,0.171749,0,3.14,0,1000
0.33,-55.3596,1.02664,0.209916,0,3.14,0,1000
0.39,-54.7339,1.03955,0.248082,0,3.14,0,1000
0.45,-54.0892,1.05284,0.286249,0,3.14,0,1000
0.51,-53.351,1.06807,0.324415,0,3.14,0,1000
0.57,-52.5463,1.08466,0.362582,0,3.14,0,1000
0.63,-51.815,1.09974,0.400748,0,3.14,0,1000
0.69,-50.994,1.11667,0.438915,0,3.14,0,1000
0.75,-50.2311,1.13241,0.477081,0,3.14,0,1000
0.81,-49.4328,1.14887,0.515248,0,3.14,0,1000
0.87,-48.6208,1.16562,0.553414,0,3.14,0,1000
0.93,-47.7628,1.18331,0.591581,0,3.14,0,1000
0.99,-46.8605,1.20192,0.629747,0,3.14,0,1000
1.05,-45.8964,1.22181,0.667914,0,3.14,0,1000
1.11,-45.0646,1.23896,0.706081,0,3.14,0,1000
1.17,-44.0509,1.25987,0.744247,0,3.14,0,1000
1.23,-42.9991,1.28156,0.782414,0,3.14,0,1000
1.29,-41.843,1.3054,0.82058,0,3.14,0,1000
1.35,-40.4986,1.33313,0.858747,0,3.14,0,1000
1.41,-38.9664,1.36473,0.896913,0,3.14,0,1000
1.47,-37.3145,1.3988,0.93508,0,3.14,0,1000
1.53,-35.5953,1.43425,0.973246,0,3.14,0,1000
1.59,-33.8327,1.4706,1.01141,0,3.14,0,1000
1.65,-32.0358,1.50766,1.04958,0,3.14,0,1000
1.71,-30.2073,1.54537,1.08775,0,3.14,0,1000
1.77,-28.3479,1.58372,1.12591,0,3.14,0,1000
1.83,-27.8281,1.59444,1.16408,0,3.14,0,1000
1.89,-25.9241,1.63371,1.20225,0,3.14,0,1000
1.95,-23.9975,1.67344,1.24041,0,3.14,0,1000
2.01,-22.0449,1.71371,1.27858,0,3.14,0,1000
2.07,-20.062,1.7546,1.31674,0,3.14,0,1000
2.13,-18.0451,1.7962,1.35491,0,3.14,0,1000
2.19,-15.9914,1.83855,1.39308,0,3.14,0,1000
2.25,-13.8996,1.88169,1.43124,0,3.14,0,1000
2.31,-11.7699,1.92562,1.46941,0,3.14,0,1000
2.37,-9.60373,1.97029,1.50758,0,3.14,0,1000
2.43,-7.4029,2.01568,1.54574,0,3.14,0,1000
2.49,-6.53026,2.03368,1.58391,0,3.14,0,1000
2.55,-4.27415,2.0802,1.62208,0,3.14,0,1000
2.61,-1.98707,2.12737,1.66024,0,3.14,0,1000
2.67,0.33184,2.1752,1.69841,0,3.14,0,1000
2.73,2.68349,2.2237,1.73658,0,3.14,0,1000
2.79,5.06853,2.27288,1.77474,0,3.14,0,1000
2.84716,7.372,2.32039,1.81111,0,3.14,0,1000
2.90458,9.7157,2.36872,1.84763,0,3.14,0,1000
2.96339,12.1472,2.41887,1.88504,0,3.14,0,1000
3.01673,13.1237,2.43901,1.91896,0,3.14,0,1000
3.07305,15.5373,2.48879,1.9548,0,3.14,0,1000
3.12499,17.7822,2.53509,1.98783,0,3.14,0,1000
3.18027,20.192,2.58478,2.023,0,3.14,0,1000
3.2325,22.4868,2.63211,2.05622,0,3.14,0,1000
3.28636,24.8713,2.68129,2.09048,0,3.14,0,1000
3.34126,27.3191,2.73177,2.1254,0,3.14,0,1000
3.39197,29.5955,2.77872,2.15766,0,3.14,0,1000
3.45005,32.0288,2.8289,2.1946,0,3.14,0,1000
3.50141,34.3578,2.87693,2.22728,0,3.14,0,1000
3.5513,36.6342,2.92388,2.25901,0,3.14,0,1000
3.6028,38.998,2.97263,2.29177,0,3.14,0,1000
3.65681,41.4914,3.02405,2.32613,0,3.14,0,1000
3.70984,43.9534,3.07483,2.35986,0,3.14,0,1000
3.7636,46.4631,3.12659,2.39406,0,3.14,0,1000
3.82187,49.1991,3.18301,2.43112,0,3.14,0,1000
3.8772,51.8119,3.2369,2.46632,0,3.14,0,1000
3.93541,54.5757,3.2939,2.50335,0,3.14,0,1000
3.99384,57.3662,3.35145,2.54052,0,3.14,0,1000
4.05353,58.8519,3.38209,2.57848,0,3.14,0,1000
4.11029,61.5798,3.43835,2.61459,0,3.14,0,1000
4.17029,64.4803,3.49816,2.65276,0,3.14,0,1000
4.23002,67.3852,3.55808,2.69075,0,3.14,0,1000
4.29002,70.3216,3.61863,2.72892,0,3.14,0,1000
4.35002,73.2767,3.67958,2.76708,0,3.14,0,1000
4.41002,76.2511,3.74092,2.80525,0,3.14,0,1000
4.47002,79.2456,3.80268,2.84342,0,3.14,0,1000
4.53002,82.2608,3.86486,2.88158,0,3.14,0,1000
4.59002,83.9049,3.89877,2.91975,0,3.14,0,1000
4.65002,86.967,3.96192,2.95792,0,3.14,0,1000
4.71002,90.0515,4.02553,2.99608,0,3.14,0,1000
4.77002,93.1577,4.08959,3.03425,0,3.14,0,1000
4.83002,96.2846,4.15408,3.07242,0,3.14,0,1000
4.89002,99.4311,4.21897,3.11058,0,3.14,0,1000
4.95002,102.584,4.284,3.14875,0,3.14,0,1000
5.01002,104.629,4.32617,3.18692,0,3.14,0,1000
5.07002,105.326,4.34055,3.22508,0,3.14,0,1000
5.13002,105.547,4.34511,3.26325,0,3.14,0,1000
5.18929,105.638,4.34698,3.30095,0,3.14,0,1000
5.24482,105.642,4.34707,3.33628,0,3.14,0,1000
5.29121,105.667,4.34757,3.36578,0,3.14,0,1000
5.34138,105.571,4.34561,3.3977,0,3.14,0,1000
5.39953,105.667,4.34757,3.43469,0,3.14,0,1000
5.448,105.667,4.34757,3.46552,0,3.14,0,1000
5.49934,105.667,4.34757,3.49817,0,3.14,0,1000
5.55179,105.667,4.34757,3.53154,0,3.14,0,1000
5.59919,105.667,4.34757,3.56169,0,3.14,0,1000
5.65361,105.667,4.34757,3.59631,0,3.14,0,1000
5.70174,105.667,4.34757,3.62693,0,3.14,0,1000
5.75372,105.667,4.34757,3.65999,0,3.14,0,1000
5.81329,105.667,4.34757,3.69788,0,3.14,0,1000
5.86301,105.62,4.34662,3.72951,0,3.14,0,1000
5.9188,105.117,4.33625,3.765,0,3.14,0,1000
5.97755,105.667,4.34757,3.80237,0,3.14,0,1000
6.02689,105.667,4.34757,3.83375,0,3.14,0,1000
6.07523,105.667,4.34757,3.86451,0,3.14,0,1000
6.1328,105.667,4.34757,3.90113,0,3.14,0,1000
6.18035,105.324,4.34051,3.93138,0,3.14,0,1000
6.23196,105.667,4.34757,3.9642,0,3.14,0,1000
6.2898,105.613,4.34647,4.001,0,3.14,0,1000
6.34018,105.667,4.34757,4.03304,0,3.14,0,1000
6.39015,105.667,4.34757,4.06483,0,3.14,0,1000
6.44085,105.667,4.34757,4.09708,0,3.14,0,1000
6.49173,105.667,4.34757,4.12945,0,3.14,0,1000
6.54436,105.667,4.34757,4.16292,0,3.14,0,1000
6.59622,105.667,4.34757,4.19591,0,3.14,0,1000
6.65034,105.572,4.34563,4.23034,0,3.14,0,1000
6.70382,105.667,4.34757,4.26436,0,3.14,0,1000
6.75526,105.667,4.34757,4.29708,0,3.14,0,1000
6.80385,105.667,4.34757,4.32799,0,3.14,0,1000
6.8557,105.667,4.34757,4.36097,0,3.14,0,1000
6.90471,105.667,4.34757,4.39215,0,3.14,0,1000
6.95432,105.667,4.34757,4.4237,0,3.14,0,1000
7.00357,105.667,4.34757,4.45503,0,3.14,0,1000
7.05059,105.667,4.34757,4.48494,0,3.14,0,1000
7.1004,105.667,4.34757,4.51662,0,3.14,0,1000
7.14908,105.667,4.34757,4.54759,0,3.14,0,1000
7.19768,105.667,4.34757,4.5785,0,3.14,0,1000
7.25206,105.667,4.34757,4.61309,0,3.14,0,1000
7.30442,105.667,4.34757,4.6464,0,3.14,0,1000
7.35701,105.667,4.34757,4.67986,0,3.14,0,1000
7.40804,105.667,4.34757,4.71232,0,3.14,0,1000
7.45678,105.667,4.34757,4.74332,0,3.14,0,1000
7.51055,105.667,4.34757,4.77752,0,3.14,0,1000
7.56379,105.667,4.34757,4.81139,0,3.14,0,1000
7.61708,105.667,4.34757,4.84529,0,3.14,0,1000
7.66754,105.667,4.34757,4.87739,0,3.14,0,1000
7.72026,105.667,4.34757,4.91093,0,3.14,0,1000
7.77037,105.593,4.34605,4.9428,0,3.14,0,1000
7.82315,105.667,4.34757,4.97637,0,3.14,0,1000
7.87393,105.667,4.34757,5.00868,0,3.14,0,1000
7.92705,105.667,4.34757,5.04247,0,3.14,0,1000
7.98188,105.667,4.34757,5.07734,0,3.14,0,1000
8.03896,105.667,4.34757,5.11365,0,3.14,0,1000
8.09743,105.667,4.34757,5.15085,0,3.14,0,1000
8.14995,105.667,4.34757,5.18425,0,3.14,0,1000
8.20601,105.667,4.34757,5.21991,0,3.14,0,1000
8.26086,105.667,4.34757,5.2548,0,3.14,0,1000
8.31729,105.667,4.34757,5.2907,0,3.14,0,1000
8.37353,105.667,4.34757,5.32647,0,3.14,0,1000
8.43144,105.667,4.34757,5.36331,0,3.14,0,1000
8.48857,105.667,4.34757,5.39965,0,3.14,0,1000
8.54687,105.667,4.34757,5.43674,0,3.14,0,1000
8.60637,105.667,4.34757,5.47458,0,3.14,0,1000
8.66212,105.667,4.34757,5.51005,0,3.14,0,1000
8.7159,105.667,4.34757,5.54426,0,3.14,0,1000
8.76833,105.667,4.34757,5.57761,0,3.14,0,1000
8.82789,105.667,4.34757,5.6155,0,3.14,0,1000
8.88563,105.667,4.34757,5.65223,0,3.14,0,1000
8.94389,105.667,4.34757,5.68928,0,3.14,0,1000
8.99873,105.667,4.34757,5.72417,0,3.14,0,1000
9.05873,105.667,4.34757,5.76234,0,3.14,0,1000
9.11573,105.667,4.34757,5.79859,0,3.14,0,1000
9.17291,105.667,4.34757,5.83497,0,3.14,0,1000
9.23031,105.667,4.34757,5.87148,0,3.14,0,1000
9.29031,105.667,4.34757,5.90964,0,3.14,0,1000
9.34776,105.667,4.34757,5.94619,0,3.14,0,1000
9.40505,105.667,4.34757,5.98264,0,3.14,0,1000
9.4622,105.667,4.34757,6.01899,0,3.14,0,1000
9.51557,105.667,4.34757,6.05293,0,3.14,0,1000
9.57422,105.667,4.34757,6.09024,0,3.14,0,1000
9.63193,105.667,4.34757,6.12695,0,3.14,0,1000
9.69149,105.667,4.34757,6.16484,0,3.14,0,1000
9.75149,105.667,4.34757,6.20301,0,3.14,0,1000
9.81149,105.667,4.34757,6.24117,0,3.14,0,1000
9.87009,105.667,4.34757,6.27845,0,3.14,0,1000
9.93009,105.667,4.34757,6.31662,0,3.14,0,1000
9.98985,105.667,4.34757,6.35463,0,3.14,0,1000
10.0478,105.667,4.34757,6.39151,0,3.14,0,1000
10.1058,105.667,4.34757,6.42838,0,3.14,0,1000
10.1658,105.667,4.34757,6.46655,0,3.14,0,1000
10.2258,105.667,4.34757,6.50472,0,3.14,0,1000
10.2858,105.667,4.34757,6.54288,0,3.14,0,1000
10.3458,105.667,4.34757,6.58105,0,3.14,0,1000
10.4042,105.667,4.34757,6.6182,0,3.14,0,1000
10.4626,105.667,4.34757,6.65536,0,3.14,0,1000
10.5202,105.667,4.34757,6.69197,0,3.14,0,1000
10.5787,105.667,4.34757,6.72918,0,3.14,0,1000
10.6354,105.667,4.34757,6.76529,0,3.14,0,1000
10.6949,105.667,4.34757,6.80312,0,3.14,0,1000
10.7532,105.667,4.34757,6.84022,0,3.14,0,1000
10.8124,105.667,4.34757,6.87785,0,3.14,0,1000
10.8724,105.667,4.34757,6.91602,0,3.14,0,1000
10.9324,105.667,4.34757,6.95418,0,3.14,0,1000
10.9905,105.667,4.34757,6.99115,0,3.14,0,1000
11.0505,105.667,4.34757,7.02932,0,3.14,0,1000
11.1105,105.667,4.34757,7.06748,0,3.14,0,1000
11.1692,105.667,4.34757,7.10485,0,3.14,0,1000
11.2267,105.667,4.34757,7.14141,0,3.14,0,1000
11.2819,105.667,4.34757,7.17652,0,3.14,0,1000
11.3419,105.667,4.34757,7.21468,0,3.14,0,1000
11.4019,105.667,4.34757,7.25285,0,3.14,0,1000
11.4619,105.667,4.34757,7.29102,0,3.14,0,1000
11.5219,105.667,4.34757,7.32918,0,3.14,0,1000
11.5819,105.667,4.34757,7.36735,0,3.14,0,1000
11.6419,105.667,4.34757,7.40551,0,3.14,0,1000
11.7019,105.667,4.34757,7.44368,0,3.14,0,1000
11.7619,105.667,4.34757,7.48185,0,3.14,0,1000
11.8219,105.667,4.34757,7.52001,0,3.14,0,1000
11.8819,105.667,4.34757,7.55818,0,3.14,0,1000
11.9419,105.667,4.34757,7.59635,0,3.14,0,1000
12.0019,105.667,4.34757,7.63451,0,3.14,0,1000
12.0619,105.667,4.34757,7.67268,0,3.14,0,1000
12.1219,105.667,4.34757,7.71085,0,3.14,0,1000
12.1819,105.667,4.34757,7.74901,0,3.14,0,1000
12.2419,105.667,4.34757,7.78718,0,3.14,0,1000
12.3019,105.667,4.34757,7.82535,0,3.14,0,1000
12.3619,105.667,4.34757,7.86351,0,3.14,0,1000
12.4219,105.667,4.34757,7.90168,0,3.14,0,1000
12.4819,105.667,4.34757,7.93985,0,3.14,0,1000
12.5419,105.667,4.34757,7.97801,0,3.14,0,1000
12.6019,105.667,4.34757,8.01618,0,3.14,0,1000
12.6619,105.667,4.34757,8.05435,0,3.14,0,1000
12.7219,105.667,4.34757,8.09251,0,3.14,0,1000
12.7819,105.667,4.34757,8.13068,0,3.14,0,1000
12.8419,105.667,4.34757,8.16885,0,3.14,0,1000
12.9019,105.667,4.34757,8.20701,0,3.14,0,1000
12.9619,105.667,4.34757,8.24518,0,3.14,0,1000
13.0219,105.667,4.34757,8.28335,0,3.14,0,1000
13.0819,105.667,4.34757,8.32151,0,3.14,0,1000
13.1419,105.667,4.34757,8.35968,0,3.14,0,1000
13.2019,105.667,4.34757,8.39784,0,3.14,0,1000
13.2619,105.667,4.34757,8.43601,0,3.14,0,1000
13.3219,105.667,4.34757,8.47418,0,3.14,0,1000
13.3819,105.667,4.34757,8.51234,0,3.14,0,1000
13.4419,105.667,4.34757,8.55051,0,3.14,0,1000
13.5019,105.667,4.34757,8.58868,0,3.14,0,1000
13.5619,105.667,4.34757,8.62684,0,3.14,0,1000
13.6219,105.667,4.34757,8.66501,0,3.14,0,1000
13.6819,105.667,4.34757,8.70318,0,3.14,0,1000
13.7419,105.667,4.34757,8.74134,0,3.14,0,1000
13.8019,105.667,4.34757,8.77951,0,3.14,0,1000
13.8619,105.667,4.34757,8.81768,0,3.14,0,1000
13.9219,105.667,4.34757,8.85584,0,3.14,0,1000
13.9819,105.667,4.34757,8.89401,0,3.14,0,1000
14.0419,105.667,4.34757,8.93218,0,3.14,0,1000
14.1019,105.667,4.34757,8.97034,0,3.14,0,1000
14.1619,105.667,4.34757,9.00851,0,3.14,0,1000
14.2219,105.667,4.34757,9.04667,0,3.14,0,1000
14.2819,105.667,4.34757,9.08484,0,3.14,0,1000
14.3419,105.667,4.34757,9.12301,0,3.14,0,1000
14.4019,105.667,4.34757,9.16117,0,3.14,0,1000
14.4619,105.667,4.34757,9.19934,0,3.14,0,1000
14.5219,105.667,4.34757,9.23751,0,3.14,0,1000
14.5819,105.667,4.34757,9.27567,0,3.14,0,1000
14.6419,105.667,4.34757,9.31384,0,3.14,0,1000
14.7019,105.667,4.34757,9.35201,0,3.14,0,1000
14.7619,105.667,4.34757,9.39017,0,3.14,0,1000
14.8219,105.667,4.34757,9.42834,0,3.14,0,1000
14.8819,105.667,4.34757,9.46651,0,3.14,0,1000
14.9419,105.667,4.34757,9.50467,0,3.14,0,1000
15.0019,105.667,4.34757,9.54284,0,3.14,0,1000
15.0619,105.667,4.34757,9.58101,0,3.14,0,1000
15.1219,105.667,4.34757,9.61917,0,3.14,0,1000
15.1819,105.667,4.34757,9.65734,0,3.14,0,1000
15.2365,105.667,4.34757,9.69207,0,3.14,0,1000
15.2851,105.667,4.34757,9.72297,0,3.14,0,1000
15.3371,105.667,4.34757,9.75608,0,3.14,0,1000
15.3971,105.667,4.34757,9.79424,0,3.14,0,1000
15.4571,105.667,4.34757,9.8324,0,3.14,0,1000
15.5171,105.667,4.34757,9.87057,0,3.14,0,1000
15.5771,105.667,4.34757,9.90874,0,3.14,0,1000
15.6371,105.667,4.34757,9.9469,0,3.14,0,1000
15.6971,105.667,4.34757,9.98507,0,3.14,0,1000
15.7571,105.667,4.34757,10.0232,0,3.14,0,1000
15.8171,105.667,4.34757,10.0614,0,3.14,0,1000
15.8771,105.667,4.34757,10.0996,0,3.14,0,1000
15.9371,105.667,4.34757,10.1377,0,3.14,0,1000
15.9971,105.667,4.34757,10.1759,0,3.14,0,1000
16.0571,105.667,4.34757,10.2141,0,3.14,0,1000
16.1171,105.667,4.34757,10.2522,0,3.14,0,1000
16.1771,105.667,4.34757,10.2904,0,3.14,0,1000
16.2371,105.667,4.34757,10.3286,0,3.14,0,1000
16.2971,105.667,4.34757,10.3667,0,3.14,0,1000
16.3571,105.667,4.34757,10.4049,0,3.14,0,1000
16.4171,105.667,4.34757,10.4431,0,3.14,0,1000
16.4771,105.667,4.34757,10.4812,0,3.14,0,1000
16.5371,105.667,4.34757,10.5194,0,3.14,0,1000
16.5971,105.667,4.34757,10.5576,0,3.14,0,1000
16.6571,105.667,4.34757,10.5957,0,3.14,0,1000
16.7171,105.667,4.34757,10.6339,0,3.14,0,1000
16.7771,105.667,4.34757,10.6721,0,3.14,0,1000
16.8371,105.667,4.34757,10.7102,0,3.14,0,1000
16.8971,105.667,4.34757,10.7484,0,3.14,0,1000
16.9571,105.667,4.34757,10.7866,0,3.14,0,1000
17.0171,105.667,4.34757,10.8247,0,3.14,0,1000
17.0771,105.667,4.34757,10.8629,0,3.14,0,1000
17.1371,105.667,4.34757,10.9011,0,3.14,0,1000
17.1971,105.667,4.34757,10.9392,0,3.14,0,1000
17.2571,105.667,4.34757,10.9774,0,3.14,0,1000
17.3171,105.667,4.34757,11.0156,0,3.14,0,1000
17.3771,105.667,4.34757,11.0537,0,3.14,0,1000
17.4371,105.667,4.34757,11.0919,0,3.14,0,1000
17.4971,105.667,4.34757,11.1301,0,3.14,0,1000
17.5571,105.667,4.34757,11.1682,0,3.14,0,1000
17.6171,105.667,4.34757,11.2064,0,3.14,0,1000
17.6771,105.667,4.34757,11.2446,0,3.14,0,1000
17.7371,105.667,4.34757,11.2827,0,3.14,0,1000
17.7971,105.667,4.34757,11.3209,0,3.14,0,1000
17.8571,105.667,4.34757,11.3591,0,3.14,0,1000
17.9171,105.667,4.34757,11.3972,0,3.14,0,1000
17.9771,105.667,4.34757,11.4354,0,3.14,0,1000
18.0371,105.667,4.34757,11.4736,0,3.14,0,1000
18.0971,105.667,4.34757,11.5117,0,3.14,0,1000
18.1571,105.667,4.34757,11.5499,0,3.14,0,1000
18.2171,105.667,4.34757,11.5881,0,3.14,0,1000
18.2771,105.667,4.34757,11.6262,0,3.14,0,1000
18.3371,105.667,4.34757,11.6644,0,3.14,0,1000
18.3971,105.667,4.34757,11.7026,0,3.14,0,1000
18.4571,105.667,4.34757,11.7407,0,3.14,0,1000
18.5171,105.667,4.34757,11.7789,0,3.14,0,1000
18.5771,105.667,4.34757,11.8171,0,3.14,0,1000
18.6371,105.667,4.34757,11.8552,0,3.14,0,1000
18.6971,105.667,4.34757,11.8934,0,3.14,0,1000
18.7571,105.667,4.34757,11.9316,0,3.14,0,1000
18.8171,105.667,4.34757,11.9697,0,3.14,0,1000
18.8771,105.667,4.34757,12.0079,0,3.14,0,1000
18.9371,105.667,4.34757,12.0461,0,3.14,0,1000
18.9971,105.667,4.34757,12.0842,0,3.14,0,1000
19.0571,105.667,4.34757,12.1224,0,3.14,0,1000
19.1171,105.667,4.34757,12.1606,0,3.14,0,1000
19.1771,105.667,4.34757,12.1987,0,3.14,0,1000
19.2371,105.667,4.34757,12.2369,0,3.14,0,1000
19.2971,105.667,4.34757,12.2751,0,3.14,0,1000
19.3571,105.667,4.34757,12.3132,0,3.14,0,1000
19.4171,105.667,4.34757,12.3514,0,3.14,0,1000
19.4771,105.667,4.34757,12.3896,0,3.14,0,1000
19.5371,105.667,4.34757,12.4277,0,3.14,0,1000
19.5971,105.667,4.34757,12.4659,0,3.14,0,1000
19.6571,105.667,4.34757,12.5041,0,3.14,0,1000
19.7171,105.667,4.34757,12.5422,0,3.14,0,1000
19.7771,105.667,4.34757,12.5804,0,3.14,0,1000
19.8371,105.667,4.34757,12.6186,0,3.14,0,1000
19.8971,105.667,4.34757,12.6567,0,3.14,0,1000
19.9571,105.667,4.34757,12.6949,0,3.14,0,1000
20.0171,105.667,4.34757,12.7331,0,3.14,0,1000
20.0771,105.667,4.34757,12.7712,0,3.14,0,1000
20.1371,105.667,4.34757,12.8094,0,3.14,0,1000
20.1971,105.667,4.34757,12.8476,0,3.14,0,1000
20.2571,105.667,4.34757,12.8857,0,3.14,0,1000
20.3171,105.667,4.34757,12.9239,0,3.14,0,1000
20.3771,105.667,4.34757,12.9621,0,3.14,0,1000
20.4371,105.667,4.34757,13.0002,0,3.14,0,1000
20.4971,105.667,4.34757,13.0384,0,3.14,0,1000
20.5571,105.667,4.34757,13.0766,0,3.14,0,1000
20.6171,105.667,4.34757,13.1147,0,3.14,0,1000
20.6771,105.667,4.34757,13.1529,0,3.14,0,1000
20.7371,105.667,4.34757,13.1911,0,3.14,0,1000
20.7971,105.667,4.34757,13.2292,0,3.14,0,1000
20.8571,105.667,4.34757,13.2674,0,3.14,0,1000
20.9171,105.667,4.34757,13.3056,0,3.14,0,1000
20.9771,105.667,4.34757,13.3437,0,3.14,0,1000
21.0371,105.667,4.34757,13.3819,0,3.14,0,1000
