step,sim_time,dt,max_speed,max_accel
613,7.7899,0.0101083,97.387,2446.7
617,7.82878,0.00933113,99.6614,2871.25
621,7.86761,0.0100833,99.0734,2458.86
625,7.90909,0.0104656,92.3199,2282.51
629,7.9467,0.00833946,88.0009,3594.71
633,7.97901,0.00798973,86.7902,3916.3
637,8.01504,0.0100276,89.7234,2486.25
641,8.05448,0.00980419,94.941,2600.86
645,8.09525,0.0103206,98.0823,2347.09
649,8.13709,0.0107002,99.1523,2183.53
653,8.17694,0.00922635,101.132,2936.84
657,8.19739,0.001,93.6579,1e+06
661,8.21128,0.0108905,91.7489,2107.88
665,8.257,0.0119655,94.1247,1746.14
669,8.30285,0.00995914,102.319,2520.55
673,8.34533,0.0112818,103.043,1964.18
677,8.39589,0.013092,91.8549,1458.58
681,8.44473,0.0108431,103.647,2126.36
685,8.48588,0.0101012,102.05,2450.15
689,8.52511,0.00971058,102.543,2651.24
693,8.56658,0.0107511,93.9189,2162.88
697,8.61081,0.0113659,96.2055,1935.22
701,8.65573,0.0111847,93.1501,1998.44
705,8.70224,0.00961713,97.7521,2703.02
709,8.74083,0.00973542,108.282,2637.73
713,8.78046,0.0100815,109.469,2459.72
717,8.8264,0.0119524,111.628,1749.98
721,8.87081,0.00914561,101.411,2988.92
725,8.90795,0.00970557,103.079,2653.98
729,8.94974,0.011188,109.716,1997.26
733,8.99347,0.0108463,118.089,2125.07
737,9.03298,0.0098788,115.631,2561.72
741,9.07649,0.0114842,100.036,1895.56
745,9.12215,0.011347,110.279,1941.67
749,9.1609,0.0091341,109.249,2996.46
753,9.19788,0.00928137,101.64,2902.12
757,9.24149,0.0109607,105.958,2080.95
761,9.28109,0.00883995,101.479,3199.19
765,9.31539,0.00830925,103.078,3620.9
769,9.35247,0.0102314,97.9576,2388.2
773,9.3959,0.0110666,103.56,2041.32
777,9.43708,0.0102964,107.438,2358.15
781,9.47403,0.00969808,122.856,2658.08
785,9.51376,0.0106442,121.875,2206.53
789,9.55628,0.0106158,116.193,2218.38
793,9.59566,0.0095863,125.363,2720.43
797,9.63108,0.00861,123.229,3372.36
801,9.66944,0.00959088,124.45,2717.84
805,9.71123,0.00981507,99.0175,2595.1
809,9.75,0.0095661,101.867,2731.93
813,9.79322,0.0120443,99.7406,1723.36
817,9.83589,0.0102092,107.518,2398.6
821,9.87035,0.00861626,109.072,3367.46
825,9.90551,0.0087887,107.837,3236.61
829,9.94664,0.0104234,108.297,2301.04
833,9.98713,0.00982298,108.229,2590.92
837,10.0259,0.00956157,102.769,2734.52
841,10.0659,0.0101572,96.7828,2423.22
845,10.1064,0.0101114,97.1918,2445.21
849,10.1491,0.0111266,100.381,2019.35
853,10.1923,0.0104797,106.042,2276.39
857,10.2306,0.00926982,103.661,2909.36
861,10.2663,0.00881381,96.5405,3218.2
865,10.2999,0.00826237,103.401,3662.11
869,10.3361,0.0093155,104.601,2880.9
873,10.372,0.00897281,105.109,3105.15
877,10.407,0.00874492,103.742,3269.1
881,10.4432,0.00904962,97.7778,3052.67
885,10.4775,0.0084376,103.638,3511.58
889,10.5117,0.00882625,101.822,3209.14
893,10.5462,0.00801983,96.41,3886.96
897,10.5785,0.00833125,93.8398,3601.8
901,10.6112,0.00768647,100.897,4231.42
905,10.642,0.00768647,100.897,4231.42
909,10.6732,0.00780504,94.7908,4103.84
913,10.7086,0.00884515,91.3965,3195.44
917,10.7461,0.00937432,84.0475,2844.86
921,10.7822,0.00891084,83.3106,3148.5
925,10.8168,0.00857938,90.507,3396.47
929,10.8515,0.00870661,89.9058,3297.93
933,10.8857,0.00847749,102.143,3478.61
937,10.9192,0.00827997,105.008,3646.55
941,10.9547,0.00906829,108.223,3040.11
945,10.9905,0.00893256,92.2625,3133.2
949,11.0255,0.00869049,92.9641,3310.18
953,11.0611,0.00895992,105.589,3114.1
957,11.0988,0.00956614,93.586,2731.91
961,11.1355,0.00918473,92.0216,2963.52
965,11.1678,0.00807814,92.0226,3831.05
969,11.2021,0.0085586,92.8009,3412.99
973,11.2384,0.00909579,89.7736,3021.75
977,11.275,0.00914697,96.5349,2988.04
981,11.3095,0.00843642,96.3921,3512.56
985,11.3408,0.00782234,97.85,4085.71
989,11.3736,0.00835026,98.5334,3585.42
993,11.4083,0.00876004,89.8506,3257.83
997,11.4436,0.00884767,88.0556,3193.61
1001,11.4784,0.00855395,90.8095,3416.7
1005,11.5126,0.00855713,92.4978,3414.16
1009,11.5472,0.00869446,97.0691,3307.16
1013,11.5806,0.00822355,102.981,3696.76
1017,11.6118,0.00766602,98.4773,4254.03
1021,11.6439,0.00838726,89.7812,3553.86
1025,11.6776,0.00854715,91.7863,3422.14
1029,11.7128,0.00903379,95.8687,3063.37
1033,11.7481,0.00819779,95.8188,3720.03
1037,11.7809,0.00819779,95.8188,3720.03
1041,11.8152,0.00916723,100.332,2974.84
1045,11.8511,0.00840326,97.7314,3540.33
1049,11.8852,0.00892003,98.088,3142.01
1053,11.9207,0.00867286,94.3015,3323.65
1057,11.9554,0.00867286,94.3015,3323.65
1061,11.9921,0.00941162,94.2513,2822.35
1065,12.029,0.00867518,100.014,3321.87
1069,12.0629,0.00785597,98.7044,4050.79
1073,12.0947,0.00826405,99.6938,3660.62
1077,12.1279,0.00839675,102.216,3545.83
1081,12.1613,0.0082498,101.527,3673.27
1085,12.1941,0.00800759,104.673,3898.85
1089,12.226,0.00793864,102.425,3966.86
1093,12.2578,0.00793864,102.425,3966.86
1097,12.2929,0.00886221,96.3352,3183.14
1101,12.3287,0.00922245,93.9364,2939.32
1105,12.3654,0.00909435,95.6827,3022.71
1109,12.4014,0.0086525,99.4598,3339.31
1113,12.4357,0.00852398,101.481,3440.77
1117,12.47,0.00858733,102.682,3390.19
1121,12.5053,0.0091042,96.6046,3016.17
1125,12.541,0.00870969,91.8406,3295.6
1129,12.5748,0.00819329,92.0352,3724.12
1133,12.6092,0.00903313,91.7564,3063.82
1137,12.6458,0.00918203,93.6996,2965.26
1141,12.6798,0.00826181,94.4359,3662.61
1145,12.7115,0.00781188,93.6998,4096.65
1149,12.7434,0.00805205,91.3265,3855.91
1153,12.7756,0.00804662,94.6239,3861.12
1157,12.8081,0.00819512,100.181,3722.45
1161,12.8417,0.00904082,97.7046,3058.61
1165,12.8788,0.00948244,99.0412,2780.35
