sim_time,front_x,Z,T
7.91622,105.667,4.34757,5.03558
7.96799,105.307,4.34017,5.0685
8.01712,105.641,4.34704,5.09976
8.07102,105.62,4.34662,5.13405
8.12356,105.667,4.34757,5.16746
8.17618,105.476,4.34365,5.20094
8.22774,105.569,4.34556,5.23374
8.28099,105.619,4.34659,5.26761
8.33765,105.667,4.34757,5.30365
8.39029,105.492,4.34398,5.33713
8.44468,105.151,4.33693,5.37173
8.50435,105.661,4.34746,5.40969
8.56435,105.667,4.34757,5.44786
8.61842,105.657,4.34738,5.48225
8.67193,105.649,4.3472,5.51629
8.7292,105.647,4.34717,5.55272
8.78463,105.601,4.34622,5.58798
8.83683,105.667,4.34757,5.62118
8.8898,105.564,4.34546,5.65488
8.94673,105.667,4.34757,5.69109
8.99845,105.573,4.34565,5.72399
9.051,105.667,4.34757,5.75742
9.10527,105.667,4.34757,5.79194
9.16002,105.667,4.34757,5.82677
9.2165,105.667,4.34757,5.8627
9.27215,105.667,4.34757,5.8981
9.32721,105.667,4.34757,5.93312
9.38602,105.667,4.34757,5.97053
9.44305,105.667,4.34757,6.0068
9.50004,105.667,4.34757,6.04306
9.56004,105.667,4.34757,6.08122
9.62004,105.667,4.34757,6.11939
9.68004,105.667,4.34757,6.15756
9.74004,105.667,4.34757,6.19572
9.80004,105.667,4.34757,6.23389
9.86004,105.667,4.34757,6.27206
9.92004,105.667,4.34757,6.31022
9.98004,105.667,4.34757,6.34839
10.04,105.667,4.34757,6.38656
10.1,105.667,4.34757,6.42472
10.16,105.667,4.34757,6.46289
10.22,105.667,4.34757,6.50106
10.28,105.667,4.34757,6.53922
10.34,105.667,4.34757,6.57739
10.4,105.667,4.34757,6.61555
10.46,105.667,4.34757,6.65372
10.52,105.667,4.34757,6.69189
10.58,105.667,4.34757,6.73005
10.64,105.667,4.34757,6.76822
10.7,105.667,4.34757,6.80639
10.76,105.667,4.34757,6.84455
10.82,105.667,4.34757,6.88272
10.88,105.667,4.34757,6.92089
10.94,105.667,4.34757,6.95905
11,105.667,4.34757,6.99722
11.06,105.667,4.34757,7.03539
11.12,105.667,4.34757,7.07355
11.18,105.667,4.34757,7.11172
11.24,105.667,4.34757,7.14989
11.3,105.667,4.34757,7.18805
11.36,105.667,4.34757,7.22622
11.42,105.667,4.34757,7.26439
11.48,105.667,4.34757,7.30255
11.54,105.667,4.34757,7.34072
11.6,105.667,4.34757,7.37889
11.66,105.667,4.34757,7.41705
11.72,105.667,4.34757,7.45522
11.78,105.667,4.34757,7.49338
11.84,105.667,4.34757,7.53155
11.9,105.667,4.34757,7.56972
11.96,105.667,4.34757,7.60788
12.02,105.667,4.34757,7.64605
12.08,105.667,4.34757,7.68422
12.14,105.667,4.34757,7.72238
12.2,105.667,4.34757,7.76055
12.26,105.667,4.34757,7.79872
12.32,105.667,4.34757,7.83688
12.38,105.667,4.34757,7.87505
12.44,105.667,4.34757,7.91322
12.5,105.667,4.34757,7.95138
12.56,105.667,4.34757,7.98955
12.62,105.667,4.34757,8.02772
12.68,105.667,4.34757,8.06588
12.74,105.667,4.34757,8.10405
12.8,105.667,4.34757,8.14222
12.86,105.667,4.34757,8.18038
12.92,105.667,4.34757,8.21855
12.98,105.667,4.34757,8.25671
13.04,105.667,4.34757,8.29488
13.1,105.667,4.34757,8.33305
13.16,105.667,4.34757,8.37121
13.22,105.667,4.34757,8.40938
13.28,105.667,4.34757,8.44755
13.34,105.667,4.34757,8.48571
13.4,105.667,4.34757,8.52388
13.46,105.667,4.34757,8.56205
13.52,105.667,4.34757,8.60021
13.58,105.667,4.34757,8.63838
13.64,105.667,4.34757,8.67655
13.7,105.667,4.34757,8.71471
13.76,105.667,4.34757,8.75288
13.82,105.667,4.34757,8.79105
13.88,105.667,4.34757,8.82921
13.94,105.667,4.34757,8.86738
14,105.667,4.34757,8.90555
14.06,105.667,4.34757,8.94371
14.12,105.667,4.34757,8.98188
14.1799,105.667,4.34757,9.01993
14.2378,105.667,4.34757,9.05679
14.2934,105.667,4.34757,9.09215
14.347,105.667,4.34757,9.12624
14.4017,105.667,4.34757,9.16103
14.4574,105.667,4.34757,9.19649
14.5097,105.667,4.34757,9.22971
14.5624,105.667,4.34757,9.26328
14.6159,105.667,4.34757,9.29728
14.6663,105.667,4.34757,9.32937
14.7132,105.667,4.34757,9.3592
14.7614,105.667,4.34757,9.38986
14.8077,105.667,4.34757,9.41932
14.8508,105.667,4.34757,9.4467
14.8935,105.667,4.34757,9.4739
14.9395,105.667,4.34757,9.50318
14.9859,105.667,4.34757,9.53269
15.0324,105.667,4.34757,9.56222
15.0831,105.667,4.34757,9.59452
15.1315,105.667,4.34757,9.62527
15.1796,105.667,4.34757,9.65588
15.2319,105.667,4.34757,9.68916
15.2836,105.667,4.34757,9.72201
15.3366,105.667,4.34757,9.75572
15.3938,105.667,4.34757,9.79214
15.4492,105.667,4.34757,9.82738
15.504,105.667,4.34757,9.86222
15.5606,105.667,4.34757,9.89824
15.6165,105.667,4.34757,9.93381
15.6744,105.667,4.34757,9.97063
15.7333,105.667,4.34757,10.0081
15.7895,105.667,4.34757,10.0439
15.8449,105.667,4.34757,10.0791
15.9044,105.667,4.34757,10.1169
15.9644,105.667,4.34757,10.1551
16.0244,105.667,4.34757,10.1933
16.0844,105.667,4.34757,10.2314
16.1444,105.667,4.34757,10.2696
16.2044,105.667,4.34757,10.3078
16.2644,105.667,4.34757,10.3459
16.3244,105.667,4.34757,10.3841
16.3844,105.667,4.34757,10.4223
16.4444,105.667,4.34757,10.4604
16.5044,105.667,4.34757,10.4986
16.5644,105.667,4.34757,10.5368
16.6244,105.667,4.34757,10.5749
16.6844,105.667,4.34757,10.6131
16.7444,105.667,4.34757,10.6513
16.8044,105.667,4.34757,10.6894
16.8644,105.667,4.34757,10.7276
16.9244,105.667,4.34757,10.7658
16.9844,105.667,4.34757,10.8039
17.0444,105.667,4.34757,10.8421
17.1044,105.667,4.34757,10.8803
17.1644,105.667,4.34757,10.9184
17.2244,105.667,4.34757,10.9566
17.2844,105.667,4.34757,10.9948
17.3444,105.667,4.34757,11.0329
17.4044,105.667,4.34757,11.0711
17.4644,105.667,4.34757,11.1093
17.5244,105.667,4.34757,11.1474
17.5844,105.667,4.34757,11.1856
17.6444,105.667,4.34757,11.2238
17.7044,105.667,4.34757,11.2619
17.7641,105.667,4.34757,11.2999
17.8229,105.667,4.34757,11.3373
17.8829,105.667,4.34757,11.3755
17.9429,105.667,4.34757,11.4136
18.0029,105.667,4.34757,11.4518
18.0629,105.667,4.34757,11.49
18.1229,105.667,4.34757,11.5281
18.1829,105.667,4.34757,11.5663
18.2425,105.667,4.34757,11.6042
18.3022,105.667,4.34757,11.6422
18.3622,105.667,4.34757,11.6803
18.4222,105.667,4.34757,11.7185
18.4822,105.667,4.34757,11.7567
18.5422,105.667,4.34757,11.7948
18.6022,105.667,4.34757,11.833
18.6622,105.667,4.34757,11.8712
18.7222,105.667,4.34757,11.9093
18.7822,105.667,4.34757,11.9475
18.8422,105.667,4.34757,11.9857
18.9022,105.667,4.34757,12.0238
18.9622,105.667,4.34757,12.062
19.0222,105.667,4.34757,12.1002
19.0822,105.667,4.34757,12.1383
19.142,105.667,4.34757,12.1764
19.202,105.667,4.34757,12.2146
19.262,105.667,4.34757,12.2527
19.322,105.667,4.34757,12.2909
19.382,105.667,4.34757,12.3291
19.442,105.667,4.34757,12.3672
19.502,105.667,4.34757,12.4054
19.562,105.667,4.34757,12.4436
19.622,105.667,4.34757,12.4817
19.682,105.667,4.34757,12.5199
19.742,105.667,4.34757,12.5581
19.802,105.667,4.34757,12.5962
19.862,105.667,4.34757,12.6344
19.922,105.667,4.34757,12.6726
19.982,105.667,4.34757,12.7107
20.042,105.667,4.34757,12.7489
20.102,105.667,4.34757,12.7871
20.162,105.667,4.34757,12.8252
20.222,105.667,4.34757,12.8634
20.282,105.667,4.34757,12.9016
20.342,105.667,4.34757,12.9397
20.402,105.667,4.34757,12.9779
20.462,105.667,4.34757,13.0161
20.522,105.667,4.34757,13.0542
20.582,105.667,4.34757,13.0924
20.642,105.667,4.34757,13.1306
20.6997,105.667,4.34757,13.1673
20.752,105.667,4.34757,13.2005
20.8053,105.667,4.34757,13.2345
20.8618,105.667,4.34757,13.2704
20.9204,105.667,4.34757,13.3077
20.9804,105.667,4.34757,13.3458
21.0404,105.667,4.34757,13.384
