sim_time,front_x,Z,T,cohesion,viscosity,tension,pressure
0.012,-57.703,0.978311,0.0076333,50,3.14,20,4000
0.06,-57.6483,0.979441,0.0381665,50,3.14,20,4000
0.108,-57.5333,0.981811,0.0686997,50,3.14,20,4000
0.156,-57.3783,0.985009,0.0992329,50,3.14,20,4000
0.204,-57.2033,0.988617,0.129766,50,3.14,20,4000
0.252,-57.024,0.992314,0.160299,50,3.14,20,4000
0.3,-56.8496,0.995912,0.190833,50,3.14,20,4000
0.348,-56.6855,0.999295,0.221366,50,3.14,20,4000
0.396,-56.5325,1.00245,0.251899,50,3.14,20,4000
0.444,-56.3729,1.00574,0.282432,50,3.14,20,4000
0.492,-56.225,1.00879,0.312965,50,3.14,20,4000
0.54,-56.1611,1.01011,0.343499,50,3.14,20,4000
0.588,-55.9565,1.01433,0.374032,50,3.14,20,4000
0.636,-55.8233,1.01708,0.404565,50,3.14,20,4000
0.684,-55.6784,1.02007,0.435098,50,3.14,20,4000
0.732,-55.4839,1.02408,0.465631,50,3.14,20,4000
0.78,-55.1973,1.02999,0.496165,50,3.14,20,4000
0.828,-54.9306,1.03549,0.526698,50,3.14,20,4000
0.876,-54.6454,1.04137,0.557231,50,3.14,20,4000
0.924,-54.1919,1.05072,0.587764,50,3.14,20,4000
0.972,-53.5331,1.06431,0.618298,50,3.14,20,4000
1.02,-52.7165,1.08115,0.648831,50,3.14,20,4000
1.068,-51.771,1.10065,0.679364,50,3.14,20,4000
1.116,-50.7221,1.12228,0.709897,50,3.14,20,4000
1.164,-49.5925,1.14558,0.74043,50,3.14,20,4000
1.212,-48.4145,1.16987,0.770964,50,3.14,20,4000
1.26,-47.2011,1.1949,0.801497,50,3.14,20,4000
1.308,-47.0298,1.19843,0.83203,50,3.14,20,4000
1.356,-45.8045,1.2237,0.862563,50,3.14,20,4000
1.404,-44.5497,1.24958,0.893096,50,3.14,20,4000
1.452,-43.2793,1.27578,0.92363,50,3.14,20,4000
1.5,-42.0079,1.302,0.954163,50,3.14,20,4000
1.548,-40.7445,1.32806,0.984696,50,3.14,20,4000
1.596,-39.4863,1.35401,1.01523,50,3.14,20,4000
1.644,-38.0987,1.38262,1.04576,50,3.14,20,4000
1.692,-36.7206,1.41104,1.0763,50,3.14,20,4000
1.74,-35.3517,1.43928,1.10683,50,3.14,20,4000
1.788,-33.9837,1.46749,1.13736,50,3.14,20,4000
1.836,-32.6039,1.49594,1.1679,50,3.14,20,4000
1.884,-31.198,1.52494,1.19843,50,3.14,20,4000
1.932,-29.7542,1.55471,1.22896,50,3.14,20,4000
1.98,-28.2665,1.5854,1.2595,50,3.14,20,4000
2.028,-26.7355,1.61697,1.29003,50,3.14,20,4000
2.076,-25.6569,1.63922,1.32056,50,3.14,20,4000
2.124,-24.1175,1.67096,1.35109,50,3.14,20,4000
2.172,-22.5586,1.70311,1.38163,50,3.14,20,4000
2.22,-20.9787,1.7357,1.41216,50,3.14,20,4000
2.268,-19.376,1.76875,1.44269,50,3.14,20,4000
2.316,-17.7491,1.8023,1.47323,50,3.14,20,4000
2.364,-16.0974,1.83637,1.50376,50,3.14,20,4000
2.412,-14.4214,1.87093,1.53429,50,3.14,20,4000
2.46,-12.7222,1.90598,1.56483,50,3.14,20,4000
2.508,-11.0009,1.94148,1.59536,50,3.14,20,4000
2.556,-9.25896,1.9774,1.62589,50,3.14,20,4000
2.60357,-7.64675,2.01065,1.65615,50,3.14,20,4000
2.65157,-5.86256,2.04745,1.68669,50,3.14,20,4000
2.69225,-4.33441,2.07896,1.71256,50,3.14,20,4000
2.73423,-2.74087,2.11183,1.73927,50,3.14,20,4000
2.77825,-1.05081,2.14668,1.76727,50,3.14,20,4000
2.81801,0.492957,2.17852,1.79256,50,3.14,20,4000
2.85906,2.10395,2.21174,1.81867,50,3.14,20,4000
2.89819,3.65501,2.24373,1.84357,50,3.14,20,4000
2.93809,5.2503,2.27663,1.86894,50,3.14,20,4000
2.97184,6.60945,2.30466,1.89041,50,3.14,20,4000
3.00933,8.12797,2.33598,1.91426,50,3.14,20,4000
3.04441,9.54261,2.36515,1.93658,50,3.14,20,4000
3.07669,10.8523,2.39216,1.95711,50,3.14,20,4000
3.1073,11.9129,2.41404,1.97658,50,3.14,20,4000
3.13827,13.1971,2.44052,1.99628,50,3.14,20,4000
3.17159,14.5854,2.46916,2.01748,50,3.14,20,4000
3.20621,16.0349,2.49905,2.0395,50,3.14,20,4000
3.23802,17.3737,2.52666,2.05973,50,3.14,20,4000
