step,sim_time,dt,max_speed,max_accel
633,9.32995,0.015,26.241,497.567
637,9.38995,0.015,26.4701,485.031
641,9.44995,0.015,26.5935,479.602
645,9.50995,0.015,26.941,468.177
649,9.56995,0.015,27.2695,457.632
653,9.62995,0.015,27.7503,462.578
657,9.68995,0.015,28.236,459.935
661,9.74995,0.015,28.6028,445.214
665,9.80995,0.015,29.0952,442.725
669,9.86995,0.015,29.5912,441.307
673,9.92995,0.015,30.2161,456.106
677,9.98995,0.015,30.7197,456.982
681,10.05,0.015,31.0993,439.847
685,10.11,0.015,31.6079,439.008
689,10.17,0.015,32.2475,457.919
693,10.23,0.015,32.7621,457.395
697,10.29,0.015,33.2792,456.237
701,10.35,0.015,33.6685,437.959
705,10.41,0.015,34.1896,437.557
709,10.47,0.015,34.844,451.95
713,10.53,0.015,35.3698,449.895
717,10.59,0.015,35.8975,448.481
721,10.65,0.015,36.1621,448.4
725,10.71,0.015,36.6926,448.829
729,10.77,0.015,37.3582,441.075
733,10.83,0.015,37.8925,443.756
737,10.89,0.015,38.4285,447.559
741,10.95,0.015,38.9659,453.156
745,11.01,0.015,39.6398,464.631
749,11.07,0.015,40.1804,469.091
753,11.13,0.015,40.5868,469.95
757,11.19,0.015,41.1298,477.297
761,11.25,0.015,41.8102,488.843
765,11.31,0.015,42.3558,497.72
769,11.37,0.015,42.9027,507.85
773,11.43,0.015,43.3135,521.728
777,11.49,0.015,43.8622,542.718
781,11.55,0.015,44.5495,570.145
785,11.61,0.015,45.1004,598.936
789,11.67,0.015,45.3762,612.635
793,11.73,0.015,46.0668,655.272
797,11.79,0.015,46.6202,679.595
801,11.85,0.015,47.3124,699.225
805,11.91,0.015,47.1891,747.296
809,11.97,0.015,47.4688,775.411
813,12.03,0.015,48.154,844.794
817,12.09,0.015,47.8864,866.923
821,12.15,0.015,46.7105,883.026
825,12.21,0.015,47.2304,848.829
829,12.27,0.015,47.491,834.219
833,12.33,0.015,48.1442,779.052
837,12.39,0.015,48.6685,775.516
841,12.45,0.015,49.3258,844.921
845,12.51,0.015,49.8533,900.107
849,12.57,0.015,50.0826,923.395
853,12.63,0.015,48.4465,900.597
857,12.69,0.015,40.7376,875.982
861,12.75,0.015,41.4597,857.904
865,12.81,0.015,42.0409,804.468
869,12.87,0.015,42.4496,896.26
873,12.93,0.015,42.7972,917.751
877,12.99,0.015,42.8999,844.935
881,13.05,0.015,43.6242,743.957
885,13.11,0.015,44.215,735.887
889,13.17,0.015,44.5892,721.692
893,13.23,0.015,44.9412,736.311
897,13.29,0.015,47.9928,769.146
901,13.35,0.015,47.2307,888.372
905,13.4099,0.0149284,46.182,1121.8
909,13.4661,0.0131777,46.4095,1439.67
913,13.5234,0.0143229,46.5327,1218.65
917,13.5798,0.0133845,46.4603,1395.51
921,13.6347,0.0140289,43.8167,1270.25
925,13.6934,0.015,36.5971,1007.71
929,13.7534,0.015,32.3514,764.648
933,13.8134,0.015,27.6459,938.532
937,13.8734,0.015,27.7334,955.98
941,13.9334,0.015,27.7448,753.037
945,13.9934,0.015,27.9473,698.138
949,14.0534,0.015,29.3911,599.598
953,14.1134,0.015,28.6784,482.107
957,14.1734,0.015,28.4181,458.797
961,14.2334,0.015,32.5284,400.032
965,14.2934,0.015,31.1853,390.695
969,14.3534,0.015,28.6542,394.411
973,14.4134,0.015,27.806,396.907
977,14.4734,0.015,27.8023,394.713
981,14.5334,0.015,27.9267,379.285
985,14.5934,0.015,27.999,372.812
989,14.6534,0.015,27.9927,376.543
993,14.7134,0.015,29.0341,383.522
997,14.7734,0.015,28.6455,390.843
1001,14.8334,0.015,28.563,393.904
1005,14.8934,0.015,37.6978,422.048
1009,14.9534,0.015,37.342,385.662
1013,15.0134,0.015,33.7958,390.154
1017,15.0734,0.015,32.7737,404.997
1021,15.1334,0.015,32.0841,415.867
1025,15.1934,0.015,33.4314,423.561
1029,15.2534,0.015,34.6407,422.617
1033,15.3134,0.015,33.219,431.461
1037,15.3734,0.015,32.1679,437.309
1041,15.4334,0.015,29.4897,456.561
1045,15.4934,0.015,27.3647,463.781
1049,15.5534,0.015,28.5734,464.843
1053,15.6134,0.015,28.2078,459.449
1057,15.6734,0.015,26.8346,451.152
1061,15.7334,0.015,26.1351,440.983
1065,15.7934,0.015,25.4163,434.583
1069,15.8534,0.015,25.0279,433.076
1073,15.9134,0.015,24.4802,435.373
1077,15.9734,0.015,24.2461,431.372
1081,16.0334,0.015,23.5797,433.29
1085,16.0934,0.015,22.3638,456.913
1089,16.1534,0.015,21.3021,474.538
1093,16.2134,0.015,20.2302,493.738
1097,16.2734,0.015,20.9617,492.644
1101,16.3334,0.015,22.7209,491.958
1105,16.3934,0.015,20.2477,486.958
1109,16.4534,0.015,21.1892,493.572
1113,16.5134,0.015,21.8242,514.73
1117,16.5734,0.015,21.9007,543.344
1121,16.6334,0.015,22.6129,552.358
1125,16.6934,0.015,23.5138,535.311
1129,16.7534,0.015,21.2509,516.379
1133,16.8134,0.015,23.5386,505.402
1137,16.8734,0.015,22.4387,469.085
1141,16.9334,0.015,17.5602,468.01
1145,16.9934,0.015,15.605,581.93
1149,17.0534,0.015,14.4306,789.46
1153,17.1134,0.015,14.2066,915.57
1157,17.1734,0.015,14.7056,1047.22
1161,17.2334,0.015,16.0505,836.164
1165,17.2934,0.015,18.0305,716.384
1169,17.3534,0.015,19.1465,671.789
1173,17.4134,0.015,25.6131,673.061
1177,17.4734,0.015,17.8305,757.978
1181,17.5334,0.015,17.9111,906.211
1185,17.5934,0.015,18.1923,923.871
1189,17.6534,0.015,18.4245,909.031
1193,17.7134,0.015,18.6498,925.184
1197,17.7734,0.015,19.0164,976.143
1201,17.8334,0.015,19.2296,917.274
1205,17.8934,0.015,19.695,794.603
1209,17.9534,0.015,20.2835,712.946
1213,18.0134,0.015,20.5792,720.152
1217,18.0734,0.015,21.3078,622.743
1221,18.1334,0.015,21.8458,616.93
1225,18.1934,0.015,22.3245,616.013
1229,18.2534,0.015,21.6767,623.823
1233,18.3134,0.015,20.3009,601.094
1237,18.3734,0.015,21.0343,599.973
1241,18.4334,0.015,21.7337,587.321
1245,18.4934,0.015,22.1996,590.941
1249,18.5534,0.015,22.397,604.964
1253,18.6134,0.015,22.4708,615.322
1257,18.6734,0.015,23.3563,634.058
1261,18.7334,0.015,24.0964,641.66
1265,18.7934,0.015,25.0166,643.131
1269,18.8534,0.015,25.7013,644.981
1273,18.9134,0.015,26.0406,647.47
1277,18.9734,0.015,26.8428,647.566
1281,19.0334,0.015,26.1456,649.967
1285,19.0934,0.015,25.9737,635.564
1289,19.1534,0.015,26.5453,600.6
1293,19.2134,0.015,26.8204,587.1
1297,19.2734,0.015,27.4673,547.44
1301,19.3334,0.015,27.9497,585.529
1305,19.3934,0.015,28.556,580.685
1309,19.4534,0.015,29.0317,551.083
1313,19.5134,0.015,29.2573,548.125
1317,19.5734,0.015,29.5703,539.99
1321,19.6334,0.015,28.0228,537.857
1325,19.6934,0.015,24.7791,533.818
1329,19.7534,0.015,25.1175,548.053
1333,19.8134,0.015,25.2399,557.669
1337,19.8734,0.015,25.1615,580.404
1341,19.9334,0.015,24.9289,556.495
1345,19.9934,0.015,26.2791,532.671
1349,20.0534,0.015,29.4586,540.837
1353,20.1134,0.015,31.9791,544.49
1357,20.1734,0.015,34.5301,565.689
1361,20.2334,0.015,36.4875,569.876
1365,20.2934,0.015,36.1293,564.242
1369,20.3534,0.015,35.4318,575.211
1373,20.4134,0.015,35.0365,581.107
1377,20.4734,0.015,30.2219,609.832
1381,20.5334,0.015,29.2232,621.171
1385,20.5934,0.015,28.0167,616.198
1389,20.6534,0.015,27.1333,619.391
1393,20.7134,0.015,26.729,619.861
1397,20.7734,0.015,26.1895,637.293
1401,20.8334,0.015,25.5236,635.795
1405,20.8934,0.015,24.6376,608.373
1409,20.9534,0.015,23.9901,597.541
1413,21.0134,0.015,23.6922,592.195
1417,21.0734,0.015,23.0087,599.045
1421,21.1334,0.015,22.5069,602.505
1425,21.1934,0.015,22.0342,625.245
1429,21.2534,0.015,21.7762,636.166
1433,21.3134,0.015,21.5975,641.418
1437,21.3734,0.015,21.3663,667.95
1441,21.4334,0.015,21.1472,716.313
1445,21.4934,0.015,20.9156,787.978
1449,21.5534,0.015,20.7642,802.917
1453,21.6134,0.015,20.6979,792.359
1457,21.6734,0.015,20.5409,731.735
1461,21.7334,0.015,20.8728,672.383
1465,21.7934,0.015,21.9977,607.014
1469,21.8534,0.015,22.6186,621.921
1473,21.9134,0.015,22.685,629.163
1477,21.9734,0.015,21.9164,660.708
1481,22.0334,0.015,20.3622,671.116
1485,22.0934,0.015,17.4297,662.916
1489,22.1534,0.015,16.1258,662.093
1493,22.2134,0.015,16.328,660.004
1497,22.2734,0.015,15.2388,662.631
1501,22.3334,0.015,14.4455,662.687
1505,22.3934,0.015,13.9942,753.323
1509,22.4534,0.015,12.8787,779.107
1513,22.5134,0.015,13.5675,769.476
1517,22.5734,0.015,17.5447,742.431
1521,22.6334,0.015,20.161,697.056
1525,22.6934,0.015,20.2131,631.403
1529,22.7534,0.015,19.0603,643.433
1533,22.8134,0.015,17.9232,631.945
1537,22.8734,0.015,18.1876,636.989
1541,22.9334,0.015,17.8208,645.271
1545,22.9934,0.015,16.5611,663.851
1549,23.0534,0.015,15.9568,673.334
1553,23.1134,0.015,15.7151,681.958
1557,23.1734,0.015,15.3421,682.108
1561,23.2334,0.015,14.9376,674.248
1565,23.2934,0.015,16.2145,662.337
1569,23.3534,0.015,18.2203,653.057
1573,23.4134,0.015,16.9077,644.19
1577,23.4734,0.015,16.3038,619.46
1581,23.5334,0.015,15.1478,627.872
1585,23.5934,0.015,16.4199,622.949
1589,23.6534,0.015,17.1951,603.665
1593,23.7134,0.015,19.0307,602.43
1597,23.7734,0.015,19.9321,601.884
1601,23.8334,0.015,21.9323,617
1605,23.8934,0.015,22.3118,626.309
1609,23.9534,0.015,20.5249,619.545
1613,24.0134,0.015,18.6333,604.028
1617,24.0734,0.015,17.3226,601.509
1621,24.1334,0.015,16.2,609.711
1625,24.1934,0.015,14.8768,602.216
1629,24.2534,0.015,13.5902,583.258
1633,24.3134,0.015,12.5908,576.217
1637,24.3734,0.015,11.6684,568.346
1641,24.4334,0.015,11.0702,571.687
1645,24.4934,0.015,10.7378,567.398
1649,24.5534,0.015,10.5446,559.051
1653,24.6134,0.015,10.1951,560.895
1657,24.6734,0.015,9.96953,561.811
1661,24.7334,0.015,10.0281,570.543
1665,24.7934,0.015,9.78889,568.671
1669,24.8534,0.015,9.17718,557.273
1673,24.9134,0.015,8.9578,553.792
1677,24.9734,0.015,8.7963,551.852
1681,25.0334,0.015,8.23439,552.378
1685,25.0934,0.015,7.91784,548.492
1689,25.1534,0.015,7.53556,540.871
1693,25.2134,0.015,7.34347,539.057
1697,25.2734,0.015,7.19578,538.066
1701,25.3334,0.015,6.78741,535.652
1705,25.3934,0.015,6.65551,532.533
1709,25.4534,0.015,6.27901,529.804
1713,25.5134,0.015,5.76749,525.969
1717,25.5734,0.015,5.45922,523.798
1721,25.6334,0.015,5.10396,513.93
1725,25.6934,0.015,4.51346,508.817
1729,25.7534,0.015,4.94861,508.022
1733,25.8134,0.015,5.49238,501.737
1737,25.8734,0.015,5.75918,498.697
1741,25.9334,0.015,6.40958,484.446
1745,25.9934,0.015,6.9253,479.992
1749,26.0534,0.015,7.56664,484.164
1753,26.1134,0.015,8.0653,480.25
1757,26.1734,0.015,8.42694,466.749
1761,26.2334,0.015,8.91871,463.279
1765,26.2934,0.015,9.51892,472.172
1769,26.3534,0.015,10.0025,470.402
1773,26.4134,0.015,10.4714,468.842
1777,26.4734,0.015,10.7675,453.909
1781,26.5334,0.015,11.0089,453.13
1785,26.5934,0.015,11.0137,452.959
1789,26.6534,0.015,10.537,469.464
1793,26.7134,0.015,10.0445,470.377
1797,26.7734,0.015,10.1526,455.662
1801,26.8334,0.015,10.8518,458.273
1805,26.8934,0.015,11.5143,460.775
1809,26.9534,0.015,12.1557,477.096
1813,27.0134,0.015,12.3018,477.905
1817,27.0734,0.015,11.9217,478.599
1821,27.1334,0.015,12.45,467.945
1825,27.1934,0.015,13.0094,466.361
1829,27.2534,0.015,13.6859,488.239
1833,27.3134,0.015,14.2178,490.839
1837,27.3734,0.015,14.6175,474.525
1841,27.4334,0.015,15.161,479.754
1845,27.4934,0.015,15.6565,485.103
1849,27.5534,0.015,16.2084,510.327
1853,27.6134,0.015,16.635,516.076
1857,27.6734,0.015,16.7478,501.316
1861,27.7334,0.015,16.632,506.558
