sim_time,accel_med,speed_med
11.6100,598.936,45.1004
11.6700,612.635,45.3762
11.7300,655.272,46.0668
11.7900,679.595,46.0668
11.8500,699.225,46.0668
11.9100,747.296,46.0668
11.9700,775.411,46.0668
12.0300,775.516,46.0668
12.0900,779.052,46.0668
12.1500,779.052,46.0668
12.2100,779.052,46.0668
12.2700,779.052,46.0668
12.3300,779.052,46.0668
12.3900,779.052,46.6202
12.4500,804.468,46.7105
12.5100,834.219,46.7105
12.5700,844.794,46.7105
12.6300,844.921,46.7105
12.6900,844.935,46.7105
12.7500,848.829,46.7105
12.8100,857.904,46.5327
12.8700,857.904,46.4603
12.9300,866.923,46.4095
12.9900,875.982,46.1820
13.0500,875.982,44.9412
13.1100,857.904,44.5892
13.1700,857.904,44.2150
13.2300,857.904,43.8167
13.2900,857.904,43.6242
13.3500,857.904,42.8999
13.4099,857.904,42.7972
13.4661,844.935,42.4496
13.5234,804.468,42.0409
13.5798,769.146,41.4597
13.6347,764.648,41.4597
13.6934,753.037,36.5971
13.7534,743.957,32.5284
13.8134,736.311,32.3514
13.8734,735.887,31.1853
13.9334,721.692,29.3911
13.9934,698.138,29.3911
14.0534,599.598,29.3911
14.1134,482.107,29.3911
14.1734,458.797,29.3911
14.2334,422.048,29.3911
14.2934,422.048,29.3911
14.3534,422.048,29.3911
14.4134,422.048,29.3911
14.4734,422.048,29.3911
14.5334,422.048,29.3911
14.5934,422.048,29.0341
14.6534,422.048,28.6784
14.7134,422.048,28.6542
14.7734,422.048,28.6542
14.8334,422.048,28.6542
14.8934,422.048,28.6542
14.9534,422.048,28.6542
15.0134,422.048,28.6455
15.0734,422.048,28.5734
15.1334,422.048,28.5734
15.1934,422.617,28.5630
15.2534,423.561,28.2078
15.3134,431.372,27.9990
15.3734,431.461,27.9990
15.4334,433.076,27.9990
15.4934,433.290,27.9990
15.5534,434.583,27.9927
15.6134,435.373,27.3647
15.6734,437.309,26.8346
15.7334,440.983,26.1351
15.7934,451.152,25.4163
15.8534,456.561,25.0279
15.9134,456.913,24.4802
15.9734,459.449,24.2461
16.0334,463.781,23.5797
16.0934,464.843,23.5386
16.1534,468.010,23.5138
16.2134,469.085,22.7209
16.2734,474.538,22.6129
16.3334,486.958,22.4387
16.3934,491.958,22.3638
16.4534,492.644,21.9007
16.5134,493.572,21.9007
16.5734,493.738,21.8242
16.6334,505.402,21.3021
16.6934,514.730,21.2509
16.7534,516.379,21.1892
16.8134,535.311,20.9617
16.8734,543.344,20.2477
16.9334,552.358,20.2302
16.9934,581.930,19.6950
17.0534,671.789,19.6950
17.1134,673.061,19.6950
17.1734,673.061,19.6950
17.2334,673.061,19.6950
17.2934,673.061,19.6950
17.3534,673.061,19.6950
17.4134,673.061,19.6950
17.4734,673.061,19.6950
17.5334,673.061,19.6950
17.5934,673.061,19.6950
17.6534,673.061,19.6950
17.7134,673.061,19.6950
17.7734,673.061,19.6950
17.8334,673.061,19.6950
17.8934,673.061,20.2835
17.9534,673.061,20.3009
18.0134,671.789,20.5792
18.0734,647.566,21.0343
18.1334,647.566,21.3078
18.1934,647.470,21.6767
18.2534,644.981,21.7337
18.3134,643.131,21.8458
18.3734,641.660,21.8458
18.4334,635.564,22.1996
18.4934,634.058,22.3245
18.5534,623.823,22.3970
18.6134,622.743,22.4708
18.6734,616.930,23.3563
18.7334,616.013,24.0964
18.7934,615.322,24.7791
18.8534,604.964,25.0166
18.9134,601.094,25.1175
18.9734,600.600,25.1615
19.0334,599.973,25.1615
19.0934,590.941,25.2399
19.1534,587.321,25.7013
19.2134,587.100,25.9737
19.2734,585.529,26.0406
19.3334,580.685,26.1456
19.3934,580.404,26.2791
19.4534,575.211,26.5453
19.5134,575.211,26.8204
19.5734,575.211,26.8428
19.6334,575.211,27.4673
19.6934,575.211,27.9497
19.7534,575.211,27.9497
19.8134,575.211,27.9497
19.8734,575.211,27.9497
19.9334,575.211,27.9497
19.9934,575.211,27.9497
20.0534,575.211,27.9497
20.1134,575.211,27.9497
20.1734,575.211,27.9497
20.2334,580.404,27.9497
20.2934,580.404,27.1333
20.3534,580.404,26.7290
20.4134,581.107,26.2791
20.4734,592.195,26.1895
20.5334,597.541,25.5236
20.5934,599.045,25.2399
20.6534,602.505,25.2399
20.7134,608.373,25.2399
20.7734,609.832,25.1615
20.8334,616.198,24.9289
20.8934,616.198,24.6376
20.9534,619.391,23.9901
21.0134,619.861,23.6922
21.0734,621.171,23.0087
21.1334,621.921,22.6850
21.1934,625.245,22.6186
21.2534,629.163,22.5069
21.3134,635.795,22.0342
21.3734,636.166,21.9977
21.4334,637.293,21.9164
21.4934,641.418,21.7762
21.5534,660.004,21.5975
21.6134,660.708,21.3663
21.6734,662.093,21.1472
21.7334,662.631,20.9156
21.7934,662.631,20.8728
21.8534,662.631,20.7642
21.9134,662.631,20.6979
21.9734,662.631,20.5409
22.0334,662.631,20.3622
22.0934,662.687,20.2131
22.1534,662.916,20.1610
22.2134,663.851,19.0603
22.2734,667.950,18.1876
22.3334,671.116,17.9232
22.3934,663.851,17.8208
22.4534,662.916,17.8208
