sim_time,front_x,Z,T,cohesion,viscosity,tension,pressure
0.048,-57.6284,0.97985,0.0305332,5,3.14,20,4000
0.096,-57.4147,0.984258,0.0610664,5,3.14,20,4000
0.144,-57.0983,0.990782,0.0915996,5,3.14,20,4000
0.192,-56.7138,0.998712,0.122133,5,3.14,20,4000
0.24,-56.2895,1.00746,0.152666,5,3.14,20,4000
0.288,-55.8477,1.01657,0.183199,5,3.14,20,4000
0.336,-55.3284,1.02728,0.213732,5,3.14,20,4000
0.384,-54.8277,1.03761,0.244266,5,3.14,20,4000
0.432,-54.3224,1.04803,0.274799,5,3.14,20,4000
0.48,-53.8149,1.0585,0.305332,5,3.14,20,4000
0.528,-53.3012,1.06909,0.335865,5,3.14,20,4000
0.576,-52.7743,1.07996,0.366399,5,3.14,20,4000
0.624,-52.2246,1.0913,0.396932,5,3.14,20,4000
0.672,-51.5686,1.10483,0.427465,5,3.14,20,4000
0.72,-50.8102,1.12047,0.457998,5,3.14,20,4000
0.768,-50.1758,1.13355,0.488531,5,3.14,20,4000
0.816,-49.4286,1.14896,0.519065,5,3.14,20,4000
0.864,-48.7754,1.16243,0.549598,5,3.14,20,4000
0.912,-48.0769,1.17684,0.580131,5,3.14,20,4000
0.96,-47.266,1.19356,0.610664,5,3.14,20,4000
1.008,-46.3959,1.2115,0.641197,5,3.14,20,4000
1.056,-45.4554,1.2309,0.671731,5,3.14,20,4000
1.104,-44.4292,1.25206,0.702264,5,3.14,20,4000
1.152,-43.3032,1.27529,0.732797,5,3.14,20,4000
1.2,-42.9422,1.28273,0.76333,5,3.14,20,4000
1.248,-41.9482,1.30323,0.793864,5,3.14,20,4000
1.296,-40.8875,1.32511,0.824397,5,3.14,20,4000
1.344,-39.7579,1.3484,0.85493,5,3.14,20,4000
1.392,-38.5681,1.37294,0.885463,5,3.14,20,4000
1.44,-37.2954,1.39919,0.915996,5,3.14,20,4000
1.488,-35.9688,1.42655,0.94653,5,3.14,20,4000
1.536,-34.6157,1.45445,0.977063,5,3.14,20,4000
1.584,-33.2333,1.48296,1.0076,5,3.14,20,4000
1.632,-31.8212,1.51209,1.03813,5,3.14,20,4000
1.68,-30.3833,1.54174,1.06866,5,3.14,20,4000
1.728,-28.9256,1.5718,1.0992,5,3.14,20,4000
1.776,-27.4529,1.60218,1.12973,5,3.14,20,4000
1.824,-25.9679,1.6328,1.16026,5,3.14,20,4000
1.872,-24.4709,1.66367,1.1908,5,3.14,20,4000
1.92,-22.9602,1.69483,1.22133,5,3.14,20,4000
1.968,-21.6123,1.72263,1.25186,5,3.14,20,4000
2.016,-19.9853,1.75618,1.28239,5,3.14,20,4000
2.064,-18.3422,1.79007,1.31293,5,3.14,20,4000
2.112,-16.7091,1.82375,1.34346,5,3.14,20,4000
2.16,-15.0792,1.85737,1.37399,5,3.14,20,4000
2.208,-13.4193,1.8916,1.40453,5,3.14,20,4000
2.256,-11.7278,1.92648,1.43506,5,3.14,20,4000
2.304,-10.0027,1.96206,1.46559,5,3.14,20,4000
2.352,-8.24179,1.99838,1.49613,5,3.14,20,4000
2.4,-6.44351,2.03546,1.52666,5,3.14,20,4000
2.448,-4.6074,2.07333,1.55719,5,3.14,20,4000
2.496,-2.73454,2.11196,1.58773,5,3.14,20,4000
2.544,-1.53661,2.13666,1.61826,5,3.14,20,4000
2.592,0.390444,2.1764,1.64879,5,3.14,20,4000
2.63823,2.27209,2.21521,1.6782,5,3.14,20,4000
2.6842,4.16641,2.25428,1.70744,5,3.14,20,4000
2.72596,5.9058,2.29015,1.73401,5,3.14,20,4000
2.76768,7.65887,2.32631,1.76054,5,3.14,20,4000
2.80588,9.27693,2.35968,1.78485,5,3.14,20,4000
2.84342,10.8771,2.39268,1.80872,5,3.14,20,4000
2.87948,12.4235,2.42457,1.83166,5,3.14,20,4000
2.91541,13.9727,2.45652,1.85451,5,3.14,20,4000
2.9501,15.4764,2.48753,1.87658,5,3.14,20,4000
2.99149,17.2799,2.52472,1.90291,5,3.14,20,4000
3.02967,18.1618,2.54291,1.9272,5,3.14,20,4000
3.06575,19.7317,2.57529,1.95015,5,3.14,20,4000
3.09661,21.0813,2.60312,1.96978,5,3.14,20,4000
3.12864,22.4892,2.63216,1.99015,5,3.14,20,4000
