sim_time,front_x,Z,T,cohesion,viscosity,tension,pressure
0.012,-57.7002,0.978369,0.0076333,0,3.14,20,4000
0.06,-57.5797,0.980853,0.0381665,0,3.14,20,4000
0.108,-57.3227,0.986155,0.0686997,0,3.14,20,4000
0.156,-56.9662,0.993508,0.0992329,0,3.14,20,4000
0.204,-56.5443,1.00221,0.129766,0,3.14,20,4000
0.252,-56.0863,1.01165,0.160299,0,3.14,20,4000
0.3,-55.6106,1.02146,0.190833,0,3.14,20,4000
0.348,-55.0364,1.03331,0.221366,0,3.14,20,4000
0.396,-54.4958,1.04445,0.251899,0,3.14,20,4000
0.444,-53.9518,1.05568,0.282432,0,3.14,20,4000
0.492,-53.5281,1.06441,0.312965,0,3.14,20,4000
0.54,-52.8476,1.07845,0.343499,0,3.14,20,4000
0.588,-52.2727,1.0903,0.374032,0,3.14,20,4000
0.636,-51.6454,1.10324,0.404565,0,3.14,20,4000
0.684,-50.7842,1.121,0.435098,0,3.14,20,4000
0.732,-50.1437,1.13421,0.465631,0,3.14,20,4000
0.78,-49.4667,1.14817,0.496165,0,3.14,20,4000
0.828,-48.6687,1.16463,0.526698,0,3.14,20,4000
0.876,-47.9582,1.17928,0.557231,0,3.14,20,4000
0.924,-47.1347,1.19627,0.587764,0,3.14,20,4000
0.972,-46.2444,1.21463,0.618298,0,3.14,20,4000
1.02,-45.2908,1.2343,0.648831,0,3.14,20,4000
1.068,-44.2595,1.25556,0.679364,0,3.14,20,4000
1.116,-43.1373,1.27871,0.709897,0,3.14,20,4000
1.164,-42.8347,1.28495,0.74043,0,3.14,20,4000
1.212,-41.833,1.30561,0.770964,0,3.14,20,4000
1.26,-40.7652,1.32763,0.801497,0,3.14,20,4000
1.308,-39.5689,1.3523,0.83203,0,3.14,20,4000
1.356,-38.2774,1.37894,0.862563,0,3.14,20,4000
1.404,-36.9284,1.40676,0.893096,0,3.14,20,4000
1.452,-35.5346,1.4355,0.92363,0,3.14,20,4000
1.5,-34.1068,1.46495,0.954163,0,3.14,20,4000
1.548,-32.6582,1.49482,0.984696,0,3.14,20,4000
1.596,-31.1961,1.52498,1.01523,0,3.14,20,4000
1.644,-29.7208,1.5554,1.04576,0,3.14,20,4000
1.692,-28.2298,1.58615,1.0763,0,3.14,20,4000
1.74,-26.7221,1.61725,1.10683,0,3.14,20,4000
1.788,-25.1983,1.64867,1.13736,0,3.14,20,4000
1.836,-23.6598,1.6804,1.1679,0,3.14,20,4000
1.884,-22.1071,1.71242,1.19843,0,3.14,20,4000
1.932,-21.4029,1.72695,1.22896,0,3.14,20,4000
1.98,-19.7375,1.76129,1.2595,0,3.14,20,4000
2.028,-18.0668,1.79575,1.29003,0,3.14,20,4000
2.076,-16.3861,1.83041,1.32056,0,3.14,20,4000
2.124,-14.6892,1.86541,1.35109,0,3.14,20,4000
2.172,-12.9701,1.90086,1.38163,0,3.14,20,4000
2.22,-11.2242,1.93687,1.41216,0,3.14,20,4000
2.268,-9.44877,1.97348,1.44269,0,3.14,20,4000
2.316,-7.64356,2.01072,1.47323,0,3.14,20,4000
2.364,-5.80996,2.04853,1.50376,0,3.14,20,4000
2.412,-3.95034,2.08688,1.53429,0,3.14,20,4000
2.46,-2.06712,2.12572,1.56483,0,3.14,20,4000
2.508,-1.47082,2.13802,1.59536,0,3.14,20,4000
2.556,0.420682,2.17703,1.62589,0,3.14,20,4000
2.60395,2.33187,2.21644,1.65639,0,3.14,20,4000
2.65185,4.26439,2.2563,1.68686,0,3.14,20,4000
2.69547,6.04556,2.29303,1.71461,0,3.14,20,4000
2.72573,7.29269,2.31875,1.73386,0,3.14,20,4000
2.77279,9.25138,2.35915,1.7638,0,3.14,20,4000
2.80998,10.815,2.3914,1.78745,0,3.14,20,4000
2.83948,12.0649,2.41717,1.80621,0,3.14,20,4000
2.86932,13.3381,2.44343,1.8252,0,3.14,20,4000
2.89857,14.5934,2.46932,1.8438,0,3.14,20,4000
2.93354,16.1047,2.50049,1.86605,0,3.14,20,4000
2.9652,17.4816,2.52888,1.88619,0,3.14,20,4000
2.99531,17.645,2.53225,1.90534,0,3.14,20,4000
3.02295,18.8527,2.55716,1.92292,0,3.14,20,4000
3.05619,20.3128,2.58727,1.94407,0,3.14,20,4000
3.0928,21.9298,2.62062,1.96736,0,3.14,20,4000
3.13147,23.6486,2.65607,1.99196,0,3.14,20,4000
3.17301,25.5072,2.6944,2.01838,0,3.14,20,4000
3.21416,27.3605,2.73262,2.04455,0,3.14,20,4000
3.2608,29.4765,2.77626,2.07422,0,3.14,20,4000
3.2987,31.2076,2.81196,2.09833,0,3.14,20,4000
3.33913,33.0661,2.85029,2.12405,0,3.14,20,4000
3.38257,35.0754,2.89173,2.15168,0,3.14,20,4000
3.42123,36.8749,2.92884,2.17627,0,3.14,20,4000
3.4657,38.9572,2.97179,2.20456,0,3.14,20,4000
3.50702,40.9039,3.01194,2.23084,0,3.14,20,4000
3.5537,43.1168,3.05757,2.26054,0,3.14,20,4000
3.60054,44.1715,3.07932,2.29033,0,3.14,20,4000
3.64723,46.403,3.12535,2.32003,0,3.14,20,4000
3.69286,48.5962,3.17058,2.34906,0,3.14,20,4000
3.7401,50.88,3.21768,2.37911,0,3.14,20,4000
3.78658,53.1399,3.26428,2.40867,0,3.14,20,4000
3.83458,55.4869,3.31269,2.43921,0,3.14,20,4000
3.88258,57.8473,3.36137,2.46974,0,3.14,20,4000
3.93058,60.2206,3.41032,2.50027,0,3.14,20,4000
3.97858,62.6069,3.45953,2.53081,0,3.14,20,4000
4.02658,65.0059,3.50901,2.56134,0,3.14,20,4000
4.07457,67.4177,3.55874,2.59187,0,3.14,20,4000
4.12258,68.6104,3.58334,2.62241,0,3.14,20,4000
4.17058,71.0317,3.63328,2.65294,0,3.14,20,4000
4.21858,73.4633,3.68343,2.68347,0,3.14,20,4000
4.26658,75.905,3.73378,2.71401,0,3.14,20,4000
4.31458,78.3568,3.78435,2.74454,0,3.14,20,4000
4.36258,80.819,3.83513,2.77507,0,3.14,20,4000
4.41058,83.2921,3.88613,2.8056,0,3.14,20,4000
4.45858,85.7769,3.93738,2.83614,0,3.14,20,4000
4.50658,88.2733,3.98886,2.86667,0,3.14,20,4000
4.55457,89.3464,4.01099,2.8972,0,3.14,20,4000
4.60258,91.8462,4.06255,2.92774,0,3.14,20,4000
4.65058,94.3575,4.11434,2.95827,0,3.14,20,4000
4.69858,96.8801,4.16636,2.9888,0,3.14,20,4000
4.74658,99.4134,4.21861,3.01934,0,3.14,20,4000
4.79458,101.957,4.27107,3.04987,0,3.14,20,4000
4.84258,104.365,4.32072,3.0804,0,3.14,20,4000
4.89058,105.213,4.33823,3.11094,0,3.14,20,4000
4.93858,105.598,4.34615,3.14147,0,3.14,20,4000
4.98658,105.563,4.34544,3.172,0,3.14,20,4000
5.03214,105.66,4.34744,3.20099,0,3.14,20,4000
5.07955,105.667,4.34757,3.23115,0,3.14,20,4000
5.12696,105.664,4.34753,3.26131,0,3.14,20,4000
5.17377,105.667,4.34757,3.29108,0,3.14,20,4000
5.21832,105.645,4.34712,3.31942,0,3.14,20,4000
5.26326,105.667,4.34757,3.34801,0,3.14,20,4000
5.31126,105.667,4.34757,3.37854,0,3.14,20,4000
5.35926,105.667,4.34757,3.40907,0,3.14,20,4000
5.40726,105.667,4.34757,3.43961,0,3.14,20,4000
5.45526,105.667,4.34757,3.47014,0,3.14,20,4000
5.50326,105.667,4.34757,3.50067,0,3.14,20,4000
5.55043,105.667,4.34757,3.53068,0,3.14,20,4000
5.59843,105.667,4.34757,3.56121,0,3.14,20,4000
5.64643,105.667,4.34757,3.59174,0,3.14,20,4000
5.69179,105.667,4.34757,3.6206,0,3.14,20,4000
5.7298,105.63,4.34681,3.64477,0,3.14,20,4000
5.77766,105.667,4.34757,3.67522,0,3.14,20,4000
5.82262,105.665,4.34754,3.70382,0,3.14,20,4000
5.86772,105.667,4.34757,3.73251,0,3.14,20,4000
5.90663,105.667,4.34757,3.75726,0,3.14,20,4000
5.94811,105.621,4.34662,3.78365,0,3.14,20,4000
5.99088,105.667,4.34757,3.81085,0,3.14,20,4000
6.03331,105.667,4.34757,3.83784,0,3.14,20,4000
6.06723,105.667,4.34757,3.85942,0,3.14,20,4000
6.09898,105.667,4.34757,3.87961,0,3.14,20,4000
6.13083,105.667,4.34757,3.89987,0,3.14,20,4000
6.16445,105.667,4.34757,3.92126,0,3.14,20,4000
6.20552,105.667,4.34757,3.94738,0,3.14,20,4000
6.24292,105.667,4.34757,3.97117,0,3.14,20,4000
6.28103,105.597,4.34614,3.99542,0,3.14,20,4000
6.31703,105.16,4.33712,4.01832,0,3.14,20,4000
6.35901,105.667,4.34757,4.04502,0,3.14,20,4000
6.40014,105.667,4.34757,4.07119,0,3.14,20,4000
6.44179,105.667,4.34757,4.09767,0,3.14,20,4000
6.48166,105.667,4.34757,4.12304,0,3.14,20,4000
6.51963,105.667,4.34757,4.14719,0,3.14,20,4000
6.56081,105.667,4.34757,4.17339,0,3.14,20,4000
6.5931,105.667,4.34757,4.19393,0,3.14,20,4000
6.63824,105.667,4.34757,4.22264,0,3.14,20,4000
6.67616,105.667,4.34757,4.24677,0,3.14,20,4000
6.71472,105.667,4.34757,4.27129,0,3.14,20,4000
6.75062,105.667,4.34757,4.29413,0,3.14,20,4000
6.79094,105.667,4.34757,4.31977,0,3.14,20,4000
6.82666,105.667,4.34757,4.3425,0,3.14,20,4000
6.86712,105.667,4.34757,4.36823,0,3.14,20,4000
6.90534,105.667,4.34757,4.39254,0,3.14,20,4000
6.9406,105.667,4.34757,4.41497,0,3.14,20,4000
6.97711,105.667,4.34757,4.4382,0,3.14,20,4000
7.01372,105.667,4.34757,4.46149,0,3.14,20,4000
7.05121,105.667,4.34757,4.48534,0,3.14,20,4000
7.08595,105.667,4.34757,4.50743,0,3.14,20,4000
7.11791,105.667,4.34757,4.52776,0,3.14,20,4000
7.15412,105.667,4.34757,4.5508,0,3.14,20,4000
