sim_time,front_x,Z,T,cohesion,viscosity,tension,pressure
0.024,-57.6857,0.978669,0.0152666,0,3.14,0,4000
0.072,-57.5358,0.98176,0.0457998,0,3.14,0,4000
0.12,-57.2632,0.987381,0.076333,0,3.14,0,4000
0.168,-56.9097,0.994672,0.106866,0,3.14,0,4000
0.216,-56.5061,1.003,0.137399,0,3.14,0,4000
0.264,-56.0731,1.01193,0.167933,0,3.14,0,4000
0.312,-55.5442,1.02283,0.198466,0,3.14,0,4000
0.36,-55.0499,1.03303,0.228999,0,3.14,0,4000
0.408,-54.5432,1.04348,0.259532,0,3.14,0,4000
0.456,-54.0243,1.05418,0.290065,0,3.14,0,4000
0.504,-53.4917,1.06516,0.320599,0,3.14,0,4000
0.552,-52.7609,1.08024,0.351132,0,3.14,0,4000
0.6,-52.1845,1.09212,0.381665,0,3.14,0,4000
0.648,-51.5898,1.10439,0.412198,0,3.14,0,4000
0.696,-50.919,1.11822,0.442732,0,3.14,0,4000
0.744,-50.3086,1.13081,0.473265,0,3.14,0,4000
0.792,-49.6671,1.14404,0.503798,0,3.14,0,4000
0.84,-49.0091,1.15761,0.534331,0,3.14,0,4000
0.888,-48.3682,1.17083,0.564864,0,3.14,0,4000
0.936,-47.6758,1.18511,0.595398,0,3.14,0,4000
0.984,-46.9548,1.19998,0.625931,0,3.14,0,4000
1.032,-46.1961,1.21562,0.656464,0,3.14,0,4000
1.08,-45.3845,1.23236,0.686997,0,3.14,0,4000
1.128,-44.4961,1.25068,0.71753,0,3.14,0,4000
1.176,-43.9331,1.2623,0.748064,0,3.14,0,4000
1.224,-43.0827,1.27983,0.778597,0,3.14,0,4000
1.272,-42.1711,1.29864,0.80913,0,3.14,0,4000
1.32,-41.1486,1.31972,0.839663,0,3.14,0,4000
1.368,-39.9912,1.34359,0.870197,0,3.14,0,4000
1.416,-38.7167,1.36988,0.90073,0,3.14,0,4000
1.464,-37.3632,1.39779,0.931263,0,3.14,0,4000
1.512,-35.9602,1.42672,0.961796,0,3.14,0,4000
1.56,-34.5259,1.4563,0.992329,0,3.14,0,4000
1.608,-33.0677,1.48638,1.02286,0,3.14,0,4000
1.656,-31.5859,1.51694,1.0534,0,3.14,0,4000
1.704,-30.0774,1.54805,1.08393,0,3.14,0,4000
1.752,-28.5387,1.57978,1.11446,0,3.14,0,4000
1.8,-26.9677,1.61218,1.145,0,3.14,0,4000
1.848,-25.3634,1.64527,1.17553,0,3.14,0,4000
1.896,-23.7252,1.67905,1.20606,0,3.14,0,4000
1.944,-22.0532,1.71354,1.2366,0,3.14,0,4000
1.992,-21.5366,1.72419,1.26713,0,3.14,0,4000
2.04,-19.7981,1.76004,1.29766,0,3.14,0,4000
2.088,-18.0333,1.79644,1.32819,0,3.14,0,4000
2.136,-16.2424,1.83338,1.35873,0,3.14,0,4000
2.184,-14.4261,1.87083,1.38926,0,3.14,0,4000
2.232,-12.5853,1.9088,1.41979,0,3.14,0,4000
2.28,-10.7209,1.94725,1.45033,0,3.14,0,4000
2.328,-8.83403,1.98616,1.48086,0,3.14,0,4000
2.376,-6.9254,2.02553,1.51139,0,3.14,0,4000
2.424,-4.99558,2.06533,1.54193,0,3.14,0,4000
2.472,-3.04483,2.10556,1.57246,0,3.14,0,4000
2.52,-1.07323,2.14622,1.60299,0,3.14,0,4000
2.568,-0.324875,2.16165,1.63353,0,3.14,0,4000
2.616,1.67361,2.20287,1.66406,0,3.14,0,4000
