sim_time,front_x,Z,T
0.06,-57.5795,0.980858,0.0381665
0.12,-57.2407,0.987845,0.076333
0.18,-56.7606,0.997747,0.1145
0.24,-56.2018,1.00927,0.152666
0.3,-55.6097,1.02148,0.190833
0.36,-54.9013,1.03609,0.228999
0.42,-54.224,1.05006,0.267166
0.48,-53.6698,1.06149,0.305332
0.54,-52.8493,1.07841,0.343499
0.6,-52.1276,1.0933,0.381665
0.66,-51.2914,1.11054,0.419832
0.72,-50.3127,1.13073,0.457998
0.78,-49.4745,1.14801,0.496165
0.84,-48.5093,1.16792,0.534331
0.9,-47.57,1.18729,0.572498
0.96,-46.4881,1.2096,0.610664
1.02,-45.5986,1.22795,0.648831
1.08,-44.4818,1.25098,0.686997
1.14,-43.3195,1.27495,0.725164
1.2,-42.0975,1.30015,0.76333
1.26,-40.7811,1.3273,0.801497
1.32,-39.3428,1.35696,0.839663
1.38,-37.7291,1.39024,0.87783
1.44,-36.0504,1.42486,0.915996
1.5,-34.3172,1.46061,0.954163
1.56,-33.3045,1.4815,0.992329
1.62,-31.718,1.51421,1.0305
1.68,-30.0314,1.549,1.06866
1.74,-28.2264,1.58622,1.10683
1.8,-26.3214,1.62551,1.145
1.86,-24.3541,1.66608,1.18316
1.92,-22.3581,1.70725,1.22133
1.98,-20.3523,1.74862,1.25949
2.04,-18.3425,1.79006,1.29766
2.1,-17.7912,1.80143,1.33583
2.16,-15.7829,1.84285,1.37399
2.22,-13.7476,1.88483,1.41216
2.28,-11.6852,1.92736,1.45033
2.34,-9.59427,1.97048,1.48849
2.4,-7.47251,2.01424,1.52666
2.46,-5.31707,2.0587,1.56483
2.52,-3.12559,2.10389,1.60299
2.58,-0.896997,2.14985,1.64116
2.64,0.160344,2.17166,1.67933
2.7,2.46744,2.21924,1.71749
2.76,4.7945,2.26723,1.75566
2.82,7.14069,2.31562,1.79383
2.88,9.50732,2.36443,1.83199
2.93986,11.8909,2.41358,1.87007
2.999,14.27,2.46265,1.90769
3.05717,15.4584,2.48716,1.94469
3.11463,17.824,2.53595,1.98124
3.17268,20.2393,2.58576,2.01817
3.23055,22.6709,2.63591,2.05498
3.28718,25.0723,2.68543,2.091
3.34383,27.4949,2.7354,2.12704
3.4001,29.92,2.78541,2.16283
3.45562,31.2505,2.81285,2.19815
3.5116,33.6553,2.86244,2.23376
3.5682,36.105,2.91297,2.26976
3.62479,38.5715,2.96383,2.30576
3.68165,41.0675,3.01531,2.34193
3.73971,43.6343,3.06825,2.37886
3.79827,46.2641,3.12248,2.41611
3.8574,48.9471,3.17782,2.45372
3.9174,51.6915,3.23441,2.49189
3.97688,54.4337,3.29097,2.52972
4.03622,57.0465,3.34485,2.56747
4.09617,59.8194,3.40204,2.60561
4.1551,62.5647,3.45866,2.64309
4.21452,65.3515,3.51613,2.6809
4.27452,68.1834,3.57454,2.71906
4.33452,71.0329,3.6333,2.75723
4.39452,73.8996,3.69243,2.79539
4.45452,76.7835,3.7519,2.83356
4.51452,79.6845,3.81173,2.87173
4.57452,82.603,3.87192,2.90989
4.63452,85.5392,3.93247,2.94806
4.69452,88.4933,3.9934,2.98623
4.75452,91.4654,4.05469,3.02439
4.81452,94.4542,4.11633,3.06256
4.87452,96.6278,4.16116,3.10073
4.93452,99.6688,4.22388,3.13889
4.99452,102.714,4.28667,3.17706
5.05452,104.221,4.31776,3.21523
5.11452,104.957,4.33294,3.25339
5.17452,105.019,4.33422,3.29156
5.23452,105.605,4.3463,3.32973
5.29452,105.607,4.34634,3.36789
5.35246,105.653,4.34729,3.40474
5.40926,105.667,4.34757,3.44088
5.46261,105.667,4.34757,3.47481
5.51277,105.667,4.34757,3.50672
5.56302,105.667,4.34757,3.53869
5.60941,105.667,4.34757,3.56819
5.65814,105.667,4.34757,3.59919
5.71268,105.667,4.34757,3.63389
5.76564,105.667,4.34757,3.66757
5.81898,105.667,4.34757,3.7015
5.87331,105.667,4.34757,3.73606
5.92736,105.667,4.34757,3.77045
5.98619,105.667,4.34757,3.80787
6.04619,105.667,4.34757,3.84603
6.10619,105.667,4.34757,3.8842
6.16619,105.667,4.34757,3.92236
6.22619,105.667,4.34757,3.96053
6.28619,105.667,4.34757,3.9987
6.34619,105.667,4.34757,4.03686
6.40619,105.667,4.34757,4.07503
6.46619,105.667,4.34757,4.1132
6.52619,105.667,4.34757,4.15136
6.58619,105.667,4.34757,4.18953
6.64619,105.667,4.34757,4.2277
6.70585,105.667,4.34757,4.26565
6.76304,105.667,4.34757,4.30203
6.81792,105.667,4.34757,4.33694
6.87234,105.667,4.34757,4.37155
