sim_time,front_x,Z,T
9.64369,105.667,4.34757,6.13443
9.70369,105.667,4.34757,6.1726
9.76369,105.667,4.34757,6.21076
9.82369,105.667,4.34757,6.24893
9.88369,105.667,4.34757,6.2871
9.94369,105.667,4.34757,6.32526
10.0037,105.667,4.34757,6.36343
10.0637,105.667,4.34757,6.4016
10.1237,105.667,4.34757,6.43976
10.1837,105.667,4.34757,6.47793
10.2437,105.667,4.34757,6.5161
10.3037,105.667,4.34757,6.55426
10.3637,105.667,4.34757,6.59243
10.4237,105.667,4.34757,6.6306
10.4837,105.667,4.34757,6.66876
10.5437,105.667,4.34757,6.70693
10.6037,105.667,4.34757,6.7451
10.6637,105.667,4.34757,6.78326
10.7237,105.667,4.34757,6.82143
10.7837,105.667,4.34757,6.8596
10.8437,105.667,4.34757,6.89776
10.9037,105.667,4.34757,6.93593
10.9637,105.667,4.34757,6.9741
11.0237,105.667,4.34757,7.01226
11.0837,105.667,4.34757,7.05043
11.1437,105.667,4.34757,7.08859
11.2037,105.667,4.34757,7.12676
11.2637,105.667,4.34757,7.16493
11.3237,105.667,4.34757,7.20309
11.3837,105.667,4.34757,7.24126
11.4437,105.667,4.34757,7.27943
11.5037,105.667,4.34757,7.31759
11.5637,105.667,4.34757,7.35576
11.6237,105.667,4.34757,7.39393
11.6837,105.667,4.34757,7.43209
11.7437,105.667,4.34757,7.47026
11.8037,105.667,4.34757,7.50843
11.8637,105.667,4.34757,7.54659
11.9237,105.667,4.34757,7.58476
11.9837,105.667,4.34757,7.62293
12.0437,105.667,4.34757,7.66109
12.1037,105.667,4.34757,7.69926
12.1637,105.667,4.34757,7.73743
12.2237,105.667,4.34757,7.77559
12.2837,105.667,4.34757,7.81376
12.3437,105.667,4.34757,7.85192
12.4037,105.667,4.34757,7.89009
12.4637,105.667,4.34757,7.92826
12.5237,105.667,4.34757,7.96642
12.5837,105.667,4.34757,8.00459
12.6437,105.667,4.34757,8.04276
12.7037,105.667,4.34757,8.08092
12.7637,105.667,4.34757,8.11909
12.8237,105.667,4.34757,8.15726
12.8837,105.667,4.34757,8.19542
12.9437,105.667,4.34757,8.23359
13.0037,105.667,4.34757,8.27176
13.0637,105.667,4.34757,8.30992
13.1237,105.667,4.34757,8.34809
13.1837,105.667,4.34757,8.38626
13.2437,105.667,4.34757,8.42442
13.3037,105.667,4.34757,8.46259
13.3637,105.667,4.34757,8.50076
13.4237,105.667,4.34757,8.53892
13.4837,105.667,4.34757,8.57709
13.5437,105.667,4.34757,8.61526
13.6037,105.667,4.34757,8.65342
13.6637,105.667,4.34757,8.69159
13.7237,105.667,4.34757,8.72975
13.7837,105.667,4.34757,8.76792
13.8437,105.667,4.34757,8.80609
13.9037,105.667,4.34757,8.84425
13.9637,105.667,4.34757,8.88242
14.0237,105.667,4.34757,8.92059
14.0837,105.667,4.34757,8.95875
14.1437,105.667,4.34757,8.99692
14.2037,105.667,4.34757,9.03509
14.2637,105.667,4.34757,9.07325
14.3232,105.667,4.34757,9.11111
14.3815,105.667,4.34757,9.14817
14.4399,105.667,4.34757,9.18534
14.4985,105.667,4.34757,9.2226
14.5565,105.667,4.34757,9.25954
14.6154,105.667,4.34757,9.29699
14.675,105.667,4.34757,9.3349
14.7347,105.667,4.34757,9.37285
14.7946,105.667,4.34757,9.41094
14.8535,105.667,4.34757,9.44844
14.9121,105.667,4.34757,9.4857
14.9704,105.667,4.34757,9.52278
15.0278,105.667,4.34757,9.55931
15.0861,105.667,4.34757,9.59637
15.1446,105.667,4.34757,9.63364
15.2035,105.667,4.34757,9.67105
15.2633,105.667,4.34757,9.70909
15.3228,105.667,4.34757,9.74698
15.3822,105.667,4.34757,9.78472
15.4413,105.667,4.34757,9.82236
15.4999,105.667,4.34757,9.85963
15.5597,105.667,4.34757,9.89768
15.6195,105.667,4.34757,9.93573
15.679,105.667,4.34757,9.97358
15.739,105.667,4.34757,10.0117
15.7985,105.667,4.34757,10.0496
15.8565,105.667,4.34757,10.0865
15.9147,105.667,4.34757,10.1235
15.9741,105.667,4.34757,10.1613
16.0341,105.667,4.34757,10.1994
16.0941,105.667,4.34757,10.2376
16.1541,105.667,4.34757,10.2758
16.2141,105.667,4.34757,10.3139
16.2741,105.667,4.34757,10.3521
16.3341,105.667,4.34757,10.3903
16.3941,105.667,4.34757,10.4284
16.4541,105.667,4.34757,10.4666
16.5141,105.667,4.34757,10.5048
16.5741,105.667,4.34757,10.5429
16.6341,105.667,4.34757,10.5811
16.6941,105.667,4.34757,10.6193
16.7541,105.667,4.34757,10.6574
16.8141,105.667,4.34757,10.6956
16.8741,105.667,4.34757,10.7338
16.9341,105.667,4.34757,10.7719
16.9941,105.667,4.34757,10.8101
17.0541,105.667,4.34757,10.8483
17.1141,105.667,4.34757,10.8864
17.1741,105.667,4.34757,10.9246
17.2341,105.667,4.34757,10.9628
17.2941,105.667,4.34757,11.0009
17.3541,105.667,4.34757,11.0391
17.4141,105.667,4.34757,11.0773
17.4741,105.667,4.34757,11.1154
17.5341,105.667,4.34757,11.1536
17.5941,105.667,4.34757,11.1918
17.6541,105.667,4.34757,11.2299
17.7141,105.667,4.34757,11.2681
17.7741,105.667,4.34757,11.3063
17.8341,105.667,4.34757,11.3444
17.8941,105.667,4.34757,11.3826
17.9541,105.667,4.34757,11.4208
18.0141,105.667,4.34757,11.4589
18.0741,105.667,4.34757,11.4971
18.1341,105.667,4.34757,11.5353
18.1941,105.667,4.34757,11.5734
18.2541,105.667,4.34757,11.6116
18.3141,105.667,4.34757,11.6498
18.3741,105.667,4.34757,11.6879
18.4341,105.667,4.34757,11.7261
18.4941,105.667,4.34757,11.7643
18.5541,105.667,4.34757,11.8024
18.6141,105.667,4.34757,11.8406
18.6741,105.667,4.34757,11.8788
18.7341,105.667,4.34757,11.9169
18.7941,105.667,4.34757,11.9551
18.8541,105.667,4.34757,11.9933
18.9141,105.667,4.34757,12.0314
18.9741,105.667,4.34757,12.0696
19.0341,105.667,4.34757,12.1078
19.0941,105.667,4.34757,12.1459
19.1541,105.667,4.34757,12.1841
19.2141,105.667,4.34757,12.2223
19.2741,105.667,4.34757,12.2604
19.3341,105.667,4.34757,12.2986
19.3941,105.667,4.34757,12.3368
19.4541,105.667,4.34757,12.3749
19.5141,105.667,4.34757,12.4131
19.5741,105.667,4.34757,12.4513
19.6341,105.667,4.34757,12.4894
19.6941,105.667,4.34757,12.5276
19.7541,105.667,4.34757,12.5658
19.8141,105.667,4.34757,12.6039
19.8741,105.667,4.34757,12.6421
19.9341,105.667,4.34757,12.6803
19.9941,105.667,4.34757,12.7184
20.0541,105.667,4.34757,12.7566
20.1141,105.667,4.34757,12.7948
20.1741,105.667,4.34757,12.8329
20.2341,105.667,4.34757,12.8711
20.2941,105.667,4.34757,12.9093
20.3541,105.667,4.34757,12.9474
20.4141,105.667,4.34757,12.9856
20.4741,105.667,4.34757,13.0238
20.5341,105.667,4.34757,13.0619
