sim_time,front_x,Z,T
0.03,-57.6748,0.978894,0.0190833
0.09,-57.4474,0.983584,0.0572498
0.15,-57.0526,0.991724,0.0954163
0.21,-56.557,1.00195,0.133583
0.27,-56.0137,1.01315,0.171749
0.33,-55.3898,1.02602,0.209916
0.39,-54.7643,1.03892,0.248082
0.45,-54.1325,1.05195,0.286249
0.51,-53.6115,1.06269,0.324415
0.57,-52.8426,1.07855,0.362582
0.63,-52.1446,1.09295,0.400748
0.69,-51.1825,1.11279,0.438915
0.75,-50.4061,1.1288,0.477081
0.81,-49.6319,1.14477,0.515248
0.87,-48.7079,1.16382,0.553414
0.93,-47.7945,1.18266,0.591581
0.99,-46.75,1.2042,0.629747
1.05,-45.787,1.22406,0.667914
1.11,-44.6731,1.24703,0.706081
1.17,-43.517,1.27088,0.744247
1.23,-42.3163,1.29564,0.782414
1.29,-41.0305,1.32216,0.82058
1.35,-39.6411,1.35081,0.858747
1.41,-38.157,1.38142,0.896913
1.47,-36.6008,1.41351,0.93508
1.53,-34.9944,1.44664,0.973246
1.59,-33.5813,1.47579,1.01141
1.65,-31.9812,1.50879,1.04958
1.71,-30.328,1.54288,1.08775
1.77,-28.6267,1.57797,1.12591
1.83,-26.8894,1.6138,1.16408
1.89,-25.1245,1.6502,1.20225
1.95,-23.3352,1.6871,1.24041
2.01,-21.5222,1.72449,1.27858
2.07,-19.6865,1.76235,1.31674
2.13,-17.8295,1.80064,1.35491
2.19,-16.3943,1.83024,1.39308
2.25,-14.4603,1.87013,1.43124
2.31,-12.5193,1.91016,1.46941
2.37,-10.5691,1.95038,1.50758
2.43,-8.60576,1.99087,1.54574
2.49,-6.62286,2.03177,1.58391
2.55,-4.61143,2.07325,1.62208
2.61,-2.56211,2.11551,1.66024
2.67,-1.53383,2.13672,1.69841
2.73,0.631586,2.18138,1.73658
2.79,2.83286,2.22678,1.77474
2.85,5.06355,2.27278,1.81291
2.90992,7.31638,2.31924,1.85103
2.969,9.56062,2.36553,1.8886
3.02761,11.8103,2.41192,1.92589
3.08558,13.0841,2.43819,1.96276
3.14376,15.3573,2.48507,1.99977
3.20258,17.6794,2.53296,2.03719
3.26045,19.9849,2.58051,2.074
3.31738,22.272,2.62768,2.11022
3.37491,24.5999,2.67569,2.14681
3.43201,26.9274,2.72369,2.18313
3.48839,29.2426,2.77144,2.21899
3.54475,30.72,2.80191,2.25484
3.6015,33.0605,2.85018,2.29095
3.65858,35.4304,2.89905,2.32725
3.71654,37.8539,2.94903,2.36412
3.77479,40.3065,2.99962,2.40118
3.83282,42.7663,3.05034,2.43809
3.8914,45.2656,3.10189,2.47535
3.94968,47.7685,3.15351,2.51243
4.00722,50.273,3.20516,2.54903
4.06601,52.8573,3.25846,2.58642
4.12598,55.441,3.31174,2.62457
4.18598,58.0881,3.36633,2.66274
4.24598,60.7547,3.42133,2.70091
4.30598,63.4419,3.47675,2.73907
4.36598,66.1509,3.53262,2.77724
4.42598,68.8831,3.58897,2.81541
4.48598,71.6394,3.64581,2.85357
4.54598,74.4202,3.70316,2.89174
4.60598,77.2257,3.76102,2.92991
4.66598,80.0554,3.81938,2.96807
4.72598,82.9085,3.87822,3.00624
4.78598,85.7841,3.93752,3.04441
4.84598,88.6809,3.99727,3.08257
4.90598,91.1812,4.04883,3.12074
4.96598,94.1602,4.11027,3.1589
5.02598,97.152,4.17197,3.19707
5.08598,100.155,4.23391,3.23524
5.14598,103.152,4.29572,3.2734
