sim_time,accel_med,speed_med
9.2811,2561.720,107.5180
9.3154,2595.100,107.8370
9.3525,2561.720,108.2820
9.3959,2561.720,108.2290
9.4371,2590.920,107.8370
9.4740,2590.920,107.5180
9.5138,2561.720,107.5180
9.5563,2445.210,107.5180
9.5957,2445.210,107.4380
9.6311,2561.720,106.0420
9.6694,2590.920,105.9580
9.7112,2595.100,105.9580
9.7500,2658.080,104.6010
9.7932,2658.080,104.6010
9.8359,2658.080,104.6010
9.8704,2717.840,103.7420
9.9055,2717.840,103.7420
9.9466,2717.840,103.7420
9.9871,2720.430,103.7420
10.0259,2731.930,103.7420
10.0659,2734.520,103.6610
10.1064,2880.900,103.6380
10.1491,2909.360,103.4010
10.1923,3052.670,102.7690
10.2306,3052.670,101.8670
10.2663,3052.670,101.8220
10.2999,3105.150,100.8970
10.3361,3148.500,100.8970
10.3720,3195.440,100.8970
10.4070,3209.140,101.8220
10.4432,3209.140,101.8220
10.4775,3195.440,100.8970
10.5117,3195.440,100.8970
10.5462,3195.440,100.8970
10.5785,3195.440,100.3810
10.6112,3195.440,97.7778
10.6420,3209.140,97.7778
10.6732,3218.200,97.7778
10.7086,3218.200,96.5405
10.7461,3218.200,96.5349
10.7822,3269.100,96.4100
10.8168,3297.930,96.4100
10.8515,3297.930,96.4100
10.8857,3297.930,96.3921
10.9192,3297.930,94.7908
10.9547,3310.180,93.8398
10.9905,3396.470,93.5860
11.0255,3310.180,93.5860
11.0611,3396.470,93.5860
11.0988,3396.470,93.5860
11.1355,3396.470,92.9641
11.1678,3396.470,92.8009
11.2021,3310.180,92.8009
11.2384,3310.180,92.8009
11.2750,3396.470,92.9641
11.3095,3396.470,93.5860
11.3408,3412.990,95.8188
11.3736,3412.990,95.8188
11.4083,3412.990,95.8188
11.4436,3323.650,95.8188
11.4784,3323.650,94.3015
11.5126,3323.650,94.3015
11.5472,3323.650,95.8188
11.5806,3412.990,95.8188
11.6118,3414.160,95.8188
11.6439,3416.700,95.8687
11.6776,3422.140,96.3921
11.7128,3422.140,96.5349
11.7481,3512.560,97.0691
11.7809,3512.560,97.0691
11.8152,3512.560,97.0691
11.8511,3422.140,97.0691
11.8852,3416.700,97.0691
11.9207,3416.700,97.0691
11.9554,3416.700,97.7314
11.9921,3416.700,97.7314
12.0290,3414.160,97.7314
12.0629,3422.140,97.7314
12.0947,3422.140,97.7314
12.1279,3390.190,96.6046
12.1613,3390.190,96.3352
12.1941,3390.190,96.3352
12.2260,3390.190,96.3352
12.2578,3440.770,96.3352
12.2929,3440.770,96.6046
12.3287,3390.190,97.7046
12.3654,3390.190,97.7046
12.4014,3339.310,97.7046
12.4357,3339.310,97.7046
12.4700,3390.190,97.7046
12.5053,3440.770,98.7044
12.5410,3545.830,98.7044
12.5748,3545.830,97.7046
12.6092,3545.830,97.0662
12.6458,3545.830,96.6046
12.6798,3440.770,96.3352
12.7115,3440.770,96.3352
12.7434,3440.770,96.3352
12.7756,3440.770,96.3352
12.8081,3430.850,96.3352
12.8417,3440.770,96.6046
12.8788,3571.700,97.0662
12.9169,3628.380,97.7046
12.9530,3662.610,97.7046
12.9856,3722.450,97.7046
13.0186,3724.120,97.7046
13.0519,3853.110,99.0412
13.0859,3853.110,99.4159
13.1182,3853.110,99.9664
13.1492,3853.110,100.1110
13.1818,3853.110,100.1110
13.2152,3853.110,100.1810
13.2449,3724.020,100.3340
13.2756,3724.020,101.3140
13.3105,3722.450,101.3140
13.3442,3715.520,101.3140
13.3764,3724.020,102.1960
13.4057,3853.110,102.2280
13.4354,3853.110,102.2280
13.4669,3853.110,102.2280
13.4966,3830.370,102.4910
13.5252,3853.110,102.4910
13.5559,3853.110,102.4910
13.5894,3853.110,102.4910
13.6245,3830.370,102.4910
13.6605,3830.370,102.4910
13.6962,3830.370,102.4910
13.7297,3724.020,102.6310
13.7613,3715.520,102.6310
13.7923,3693.480,103.3670
13.8253,3693.480,103.3670
13.8576,3693.480,103.5420
13.8876,3693.480,103.7890
13.9210,3693.480,103.8410
13.9541,3693.480,103.8410
13.9864,3693.480,104.7930
14.0165,3693.480,106.0920
14.0499,3657.240,106.0920
14.0849,3644.530,106.0920
14.1193,3644.530,106.0920
14.1528,3644.530,106.0920
14.1860,3657.240,106.0920
14.2221,3657.240,106.0920
14.2575,3644.530,106.0920
14.2922,3602.660,107.1040
14.3265,3580.620,109.3110
14.3583,3555.400,109.8050
14.3899,3555.400,111.0960
14.4210,3555.400,112.2130
14.4532,3480.210,112.6470
14.4853,3480.210,112.6760
14.5162,3480.210,112.6760
14.5490,3480.210,113.6600
14.5834,3480.210,114.1210
14.6184,3480.210,114.4000
14.6539,3480.210,115.9680
14.6874,3425.960,115.9940
14.7216,3425.960,117.5260
14.7581,3480.210,117.8830
14.7934,3480.210,118.1640
14.8276,3480.210,118.3330
14.8627,3543.920,118.4150
14.8956,3543.920,118.4150
14.9277,3543.920,118.4410
14.9616,3543.920,118.4410
14.9946,3543.920,118.9850
15.0218,3543.920,119.0510
15.0497,3543.920,119.7020
15.0795,3609.190,119.7300
15.1119,3663.330,119.8070
15.1465,3705.800,120.2330
15.1810,3736.970,120.2330
15.2150,3705.800,120.2330
15.2484,3705.800,119.8070
15.2826,3805.140,119.8070
15.3192,3805.140,120.2330
15.3527,3805.140,120.6420
15.3851,3825.400,120.6420
15.4170,3825.400,120.2330
15.4492,3805.140,119.8070
15.4801,3805.140,119.7300
15.5084,3805.140,119.7300
15.5368,3805.140,119.7300
15.5685,3708.550,119.7300
15.5998,3657.620,119.7020
15.6293,3657.620,119.5190
15.6604,3708.550,119.5190
15.6935,3805.140,119.1190
15.7283,3823.930,119.0510
15.7605,3823.930,118.9850
15.7938,3825.400,118.9850
