sim_time,front_x,Z,T
0.015,-57.7017,0.978339,0.00954163
0.075,-57.6177,0.98007,0.0477081
0.135,-57.4493,0.983543,0.0858747
0.195,-57.2363,0.987936,0.124041
0.255,-57.0125,0.992551,0.162208
0.315,-56.7967,0.997003,0.200374
0.375,-56.5998,1.00106,0.238541
0.435,-56.4023,1.00514,0.276707
0.495,-56.2167,1.00896,0.314874
0.555,-56.1228,1.0109,0.35304
0.615,-55.8834,1.01584,0.391207
0.675,-55.7083,1.01945,0.429373
0.735,-55.4697,1.02437,0.46754
0.795,-55.0965,1.03207,0.505706
0.855,-54.8482,1.03719,0.543873
0.915,-54.4965,1.04444,0.582039
0.975,-53.9739,1.05522,0.620206
1.035,-53.4122,1.0668,0.658372
1.095,-52.6574,1.08237,0.696539
1.155,-51.7958,1.10014,0.734705
1.215,-50.8488,1.11967,0.772872
1.275,-49.8077,1.14114,0.811038
1.335,-48.6688,1.16463,0.849205
1.395,-47.4497,1.18977,0.887371
1.455,-46.171,1.21614,0.925538
1.515,-44.842,1.24355,0.963704
1.575,-43.4648,1.27195,1.00187
1.635,-42.0414,1.30131,1.04004
1.695,-40.5757,1.33154,1.0782
1.755,-39.5141,1.35343,1.11637
1.815,-38.0903,1.3828,1.15454
1.875,-36.6158,1.4132,1.1927
1.935,-35.0967,1.44453,1.23087
1.995,-33.549,1.47645,1.26904
2.055,-31.9869,1.50867,1.3072
2.115,-30.4193,1.541,1.34537
2.175,-28.8497,1.57337,1.38354
2.235,-27.2752,1.60584,1.4217
2.295,-25.7415,1.63747,1.45987
2.355,-24.0595,1.67216,1.49804
2.415,-22.3824,1.70675,1.5362
2.475,-20.6425,1.74263,1.57437
2.535,-18.8421,1.77976,1.61254
2.595,-16.9955,1.81785,1.6507
2.655,-15.1207,1.85651,1.68887
2.715,-13.2323,1.89546,1.72703
2.775,-11.3386,1.93451,1.7652
2.835,-10.1438,1.95915,1.80337
2.895,-8.2276,1.99867,1.84153
2.955,-6.2884,2.03866,1.8797
3.015,-4.32385,2.07918,1.91787
3.075,-2.33294,2.12024,1.95603
3.13497,-0.317155,2.16181,1.99418
3.19491,1.72214,2.20387,2.03231
3.25488,3.15979,2.23352,2.07045
3.31405,5.20162,2.27563,2.1081
3.37337,7.27048,2.3183,2.14583
3.432,9.33562,2.36089,2.18313
3.49008,11.4002,2.40347,2.22007
3.54854,13.4962,2.44669,2.25726
3.60561,15.5591,2.48924,2.29356
3.66227,17.6233,2.53181,2.3296
3.72036,19.6923,2.57448,2.36655
3.77822,21.8476,2.61893,2.40336
3.83539,23.9909,2.66313,2.43972
3.89428,26.2167,2.70903,2.47719
3.95302,28.4577,2.75525,2.51455
4.01147,30.7098,2.8017,2.55173
4.07128,33.0259,2.84946,2.58978
4.12988,35.3206,2.89679,2.62705
4.18771,36.8749,2.92884,2.66384
4.246,39.2258,2.97733,2.70092
4.30308,41.5504,3.02527,2.73722
4.36132,43.9455,3.07466,2.77428
4.41983,46.3739,3.12475,2.81149
4.47737,48.7832,3.17443,2.84809
4.53617,51.2663,3.22565,2.8855
4.59349,53.7067,3.27598,2.92196
4.65095,56.1713,3.3268,2.95851
4.70895,58.2934,3.37057,2.9954
4.76582,60.7643,3.42153,3.03158
4.8236,63.293,3.47368,3.06833
4.88068,65.8095,3.52558,3.10464
4.93826,68.367,3.57832,3.14127
4.99813,71.0467,3.63359,3.17935
5.05813,73.7531,3.6894,3.21752
5.11813,76.4806,3.74565,3.25569
5.17813,79.2292,3.80234,3.29385
5.23813,81.9986,3.85945,3.33202
5.29813,84.7884,3.91699,3.37019
5.35813,87.5981,3.97494,3.40835
5.41813,90.4272,4.03328,3.44652
5.47813,93.2751,4.09202,3.48469
5.53813,96.1414,4.15113,3.52285
5.59813,99.0258,4.21062,3.56102
5.65813,101.513,4.2619,3.59919
5.71813,104.385,4.32114,3.63735
5.77813,105.635,4.34693,3.67552
5.83186,105.667,4.34757,3.70969
5.87941,105.667,4.34757,3.73994
5.9246,105.667,4.34757,3.76869
5.97462,105.667,4.34757,3.80051
6.02644,105.667,4.34757,3.83347
6.0707,105.667,4.34757,3.86163
6.11647,105.667,4.34757,3.89074
6.16618,105.667,4.34757,3.92236
6.21409,105.667,4.34757,3.95283
6.25941,105.667,4.34757,3.98166
6.31065,105.667,4.34757,4.01426
6.35419,105.667,4.34757,4.04196
6.39658,105.667,4.34757,4.06892
6.44594,105.667,4.34757,4.10032
6.49165,105.667,4.34757,4.1294
6.53634,105.667,4.34757,4.15782
6.58473,105.667,4.34757,4.1886
6.62977,105.65,4.34723,4.21725
6.67555,105.667,4.34757,4.24637
