sim_time,front_x,Z,T,cohesion,viscosity,tension,pressure
4.66046,87.0671,3.96399,2.96456,20,3.14,20,4000
4.70846,89.4465,4.01306,2.99509,20,3.14,20,4000
4.75646,91.8356,4.06233,3.02562,20,3.14,20,4000
4.80446,94.2345,4.1118,3.05616,20,3.14,20,4000
4.85246,96.643,4.16147,3.08669,20,3.14,20,4000
4.90046,99.0609,4.21134,3.11722,20,3.14,20,4000
4.94846,101.488,4.26139,3.14776,20,3.14,20,4000
4.99646,103.46,4.30206,3.17829,20,3.14,20,4000
5.04446,104.953,4.33285,3.20882,20,3.14,20,4000
5.09246,105.561,4.34538,3.23936,20,3.14,20,4000
5.14046,105.655,4.34733,3.26989,20,3.14,20,4000
5.18846,105.45,4.34311,3.30042,20,3.14,20,4000
5.23381,105.491,4.34395,3.32927,20,3.14,20,4000
5.28114,105.659,4.34741,3.35938,20,3.14,20,4000
5.32914,105.644,4.3471,3.38991,20,3.14,20,4000
5.37648,105.357,4.34118,3.42003,20,3.14,20,4000
5.42316,105.667,4.34757,3.44972,20,3.14,20,4000
5.4617,105.47,4.34353,3.47423,20,3.14,20,4000
5.50199,105.667,4.34757,3.49986,20,3.14,20,4000
5.53882,105.625,4.34671,3.52329,20,3.14,20,4000
5.57779,105.667,4.34757,3.54808,20,3.14,20,4000
5.61912,105.667,4.34757,3.57437,20,3.14,20,4000
5.65661,105.667,4.34757,3.59822,20,3.14,20,4000
5.70142,105.667,4.34757,3.62672,20,3.14,20,4000
5.73965,105.667,4.34757,3.65104,20,3.14,20,4000
5.77984,105.667,4.34757,3.67661,20,3.14,20,4000
5.81954,105.624,4.34669,3.70186,20,3.14,20,4000
5.85511,105.667,4.34757,3.72449,20,3.14,20,4000
5.89264,105.667,4.34757,3.74836,20,3.14,20,4000
5.93484,105.667,4.34757,3.7752,20,3.14,20,4000
5.97128,105.667,4.34757,3.79838,20,3.14,20,4000
6.00521,105.667,4.34757,3.81997,20,3.14,20,4000
6.0403,105.667,4.34757,3.84228,20,3.14,20,4000
6.07413,105.667,4.34757,3.86381,20,3.14,20,4000
6.10991,105.655,4.34732,3.88657,20,3.14,20,4000
6.14546,105.667,4.34757,3.90918,20,3.14,20,4000
6.17656,105.667,4.34757,3.92896,20,3.14,20,4000
6.20738,105.654,4.34731,3.94857,20,3.14,20,4000
